,Last Name,First Name,Affiliation,Author ID,ORCID,Research Areas,Warning
38,Banno,Brian,"University of British Columbia, Faculty of Medicine",57447770600,,MEDI (2),
39,Barale,Anthony,,,,,no profiles found with current query
40,Bardell,Andrea L.,University of Ottawa,,,MEDI (8); NEUR (1); NURS (1),!!! profile for Andrea Bardell does not pass addition condition
41,Barley,Jennifer,,,,,no profiles found with current query
42,Bates,Alan Thomas,"University of British Columbia, Faculty of Medicine",7102492953,,MEDI (51); NEUR (21); PSYC (18),
43,Batke,Adrienne,,,,,no profiles found with current query
44,Bayat,Negar,,,,,no profiles found with current query
45,Beasley,Clare Louise,The University of British Columbia,7102979717,0000-0001-5919-7838,MEDI (52); NEUR (49); BIOC (18),
46,Beauchemin,Lyne,,,,,no profiles found with current query
47,Beaumont,Charl,,,,,no profiles found with current query
48,Bell,Rachel,,,,,no profiles found with current query
49,Benning,Tony B.,"University of British Columbia, Faculty of Medicine",57212434003,,MEDI (22); PSYC (8); SOCI (5),
50,Bergen,Dorothea,,,,,no profiles found with current query
51,Bhalla,Rishi K.,Vancouver General Hospital,,,MEDI (27); PSYC (6); NEUR (6),!!! profile for Rishi Bhalla does not pass addition condition
52,Bhasin,Mani,,,,,no profiles found with current query
53,Bhatia,Niti,,,,,no profiles found with current query
54,Bilsker,Dan,"University of British Columbia, Faculty of Medicine",57203574310,,MEDI (28); PSYC (3); NURS (2),
55,Biradar,Apparao,,,,,no profiles found with current query
56,Birkholz,Kristina,,,,,no profiles found with current query
57,Birlik,Muzumel,,,,,no profiles found with current query
58,Birmingham,Carl Laird,The University of British Columbia,7005293592,0000-0003-4331-2664,MEDI (205); PSYC (77); AGRI (29),
59,Bishop,Lindsay,,,,,no profiles found with current query
60,Black,Tyler R.,"University of British Columbia, Faculty of Medicine",56603764900,,MEDI (24); PSYC (1); MULT (1),
61,Blackburn,Paul,The University of British Columbia,57193806244,,MEDI (3),
62,Blair,Lindsay,,,,,no profiles found with current query
63,Blank,Myles K.,BC Children's and Women's Hospital,,,PSYC (2); MEDI (2),!!! profile for Myles Blank does not pass addition condition
64,Blashko,Christopher,,,,,no profiles found with current query
65,Blignaut,Johann,,,,,no profiles found with current query
66,Bodnarchuk,Mark,Service correctionnel du Canada,,,MEDI (3); PSYC (3); SOCI (2),!!! profile for Mark Bodnarchuk does not pass addition condition
67,Bond,David J.,The University of British Columbia,14055349400,0000-0002-8713-7311,MEDI (149); NEUR (45); PSYC (27),
68,Bondar,Jay,,,,,no profiles found with current query
69,Booth,Christopher C.,University College London,,,MEDI (204); ARTS (10); AGRI (7),!!! profile for Christopher Booth does not pass addition condition
70,Borowska,Anna,,,,,no profiles found with current query
71,Bosc,Anastasia,,,,,no profiles found with current query
72,Bosley,Laurence,,,,,no profiles found with current query
73,Bossé-Chartier,Gabrielle,"University of British Columbia, Faculty of Medicine",57221873401,,MEDI (8); PSYC (2); ARTS (1),
74,Boston,Daniel,,,,,no profiles found with current query
75,Bota,Melissa,,,,,no profiles found with current query
76,Boudreau,Ainsley M.,BC​ Children​'​​s Hospital,,,MEDI (5); PSYC (5),!!! profile for Ainsley Boudreau does not pass addition condition
77,Bouffard,Rachelle,,,,,no profiles found with current query
78,Boulding,Rachel,,,,,no profiles found with current query
79,Bourque,Marie Claire,,,,,no profiles found with current query
80,Bow,Simon,,,,,no profiles found with current query
81,Bozorg,Shaghayegh,,,,,no profiles found with current query
82,Breitman,Deanne,,,,,no profiles found with current query
83,Brennan,Naomi,,,,,no profiles found with current query
84,Brink,Justinus,,,,,no profiles found with current query
85,Broadway,Lauren,,,,,no profiles found with current query
86,Bronkhorst,Aletta,The University of British Columbia,56270019700,,MEDI (4),
87,Brost,Philip,,,,,no profiles found with current query
88,Broster,Brett S.,The University of British Columbia,6603832176,,NEUR (5); PSYC (3),
89,Brown,Craig E.,The University of British Columbia,7408311558,,NEUR (28); MEDI (27); BIOC (14),
90,Brown,Jessica,,,,,no profiles found with current query
91,Burkey,Matthew D.,Johns Hopkins Bloomberg School of Public Health,,,MEDI (41); SOCI (4); PSYC (4),!!! profile for Matthew Burkey does not pass addition condition
92,Burns,Kyle D.,The University of British Columbia,55392034400,,PHAR (1); MEDI (1),
93,Burns,Amy M.N.,The University of British Columbia,56221914700,,MEDI (10); NEUR (4); NURS (1),
94,Burrell,Erin,"University of British Columbia, Faculty of Medicine",57201586576,,MEDI (9); ENVI (2); NURS (2),
95,Burton,Hannah,"University of British Columbia, Faculty of Medicine",57241027600,,MEDI (2),
96,Butterfield,Michael,"University of British Columbia, Faculty of Medicine",57201589127,,MEDI (10); BIOC (2); NEUR (2),
97,Calhoun,Laura,,,,,no profiles found with current query
98,Cameron,Kristjana,"University of British Columbia, Faculty of Medicine",55644251500,,MEDI (2); PSYC (1); NURS (1),
99,Campbell,Diane Paula,,,,,no profiles found with current query
100,Campbell,Helen,The University of British Columbia,57196812991,,MEDI (5),
101,Carey,Paul,,,,,no profiles found with current query
102,Carlson,Marie,,,,,no profiles found with current query
103,Carrion,Prescilla B.,"University of British Columbia, Faculty of Medicine",55760664000,,MEDI (23); BIOC (4); PSYC (3),
104,Carter,Arthur,,,,,no profiles found with current query
105,Caruncho,Hector,,,,,no profiles found with current query
106,Casagrande,Magdalena,,,,,no profiles found with current query
107,Casey,Janel,,,,,no profiles found with current query
108,Catchpole,Rosalind E.H.,The University of British Columbia,57210221841,,PSYC (6); MEDI (6); SOCI (1),
109,Catton,Kristen,,,,,no profiles found with current query
110,Ceresney,Maureen,,,,,no profiles found with current query
111,Chachamovich,Eduardo,,,,,no profiles found with current query
112,Chakrabarty,Trisha,"University of British Columbia, Faculty of Medicine",56521302100,,MEDI (82); NEUR (15); PSYC (7),
113,Chakraborty,Tapash Apu,"University of British Columbia, Faculty of Medicine",57751102400,,MEDI (1); MULT (1),
114,Champagne,Marilyn,,,,,no profiles found with current query
115,Chan,Charlena,Camosun College,,,MEDI (3),!!! profile for Charlena Chan does not pass addition condition
116,Chan,Salina,,,,,no profiles found with current query
117,Chan,Ryan M.,The University of British Columbia,57202308391,,MEDI (2),
118,Chapman,Laura,The University of British Columbia,36481002500,,PSYC (2); MEDI (1),
119,Chauhan,Harpreet,"St. Paul's Hospital, Vancouver",,,MEDI (2),!!! profile for Harpreet Chauhan does not pass addition condition
120,Cheek,Joanna,The University of British Columbia,55651125300,,MEDI (10); PSYC (3); ENGI (1),
121,Chernick,Grant,,,,,no profiles found with current query
122,Chete,Edwin,,,,,no profiles found with current query
123,Chetty,Unita,,,,,no profiles found with current query
124,Cheung,Pierre,,,,,no profiles found with current query
125,Cheung,Bennett Sw,"University of British Columbia, Faculty of Medicine",57907977000,,MEDI (1); PSYC (1),
126,Chhabra,Mehtaab,,,,,no profiles found with current query
127,Chin,Danielle,,,,,no profiles found with current query
128,Chin,James,,,,,no profiles found with current query
129,Cho,Brian,The University of British Columbia,56834980000,,BIOC (5); MEDI (2); PHAR (1),
130,Cho,Caroline,,,,,no profiles found with current query
131,Chodkiewicz,Adam,UBC Hospital,53872376600,,MEDI (2),
132,Choong,Wee Kei,,,,,no profiles found with current query
133,Chow,Bryan,The University of British Columbia,36914706000,,MEDI (7),
134,Chow,Matthew,,,,,no profiles found with current query
135,Chowdhury,Sheehan H.,The University of British Columbia,57189730735,,MEDI (3),
136,Claman,Jeffery M.,UBC Hospital,9042835100,,MEDI (6); NEUR (1),
137,Clark,Campbell M.,The University of British Columbia,35480697600,,MEDI (111); NEUR (90); PSYC (64),
138,Clarke,Andrew,The University of British Columbia,57199119553,,MEDI (2),
139,Clements,Robert,,,,,no profiles found with current query
140,Clift,Robert J.W.,Program Evaluation and Research,,,PSYC (6); MEDI (6); SOCI (3),!!! profile for Robert Clift does not pass addition condition
141,Coelho,Jennifer S.,"University of British Columbia, Faculty of Medicine",15026048700,0000-0001-9907-8067,MEDI (57); PSYC (40); NURS (16),
142,Cohen,Greg,,,,,no profiles found with current query
143,Cohen,Jordan,The University of British Columbia,58123561900,,MEDI (2),
144,Cohen,David Jay,,,,,no profiles found with current query
145,Cojocaru,Alice,,,,,no profiles found with current query
146,Collins,Nelson,,,,,no profiles found with current query
147,Comeau,Jennifer,,,,,no profiles found with current query
148,Comeau,Kent,,,,,no profiles found with current query
149,Comey,Rob,,,,,no profiles found with current query
150,Cook,Daniel,,,,,no profiles found with current query
151,Cooper,Michael,The University of British Columbia,56502812400,,PSYC (1); MEDI (1); SOCI (1),
152,Cooper,Barry S.,The University of British Columbia,9336058100,,MEDI (21); PSYC (20); SOCI (9),
153,Corbyn,Bryony R.,The University of British Columbia,56644997400,,MEDI (4); PSYC (1),
154,Correia,Shauna,The University of British Columbia,56611553100,,MEDI (15); BIOC (2),
155,Coupland,Jason,,,,,no profiles found with current query
156,Cox,Darcy,The University of British Columbia,35474734500,,MEDI (12); PSYC (9); NEUR (1),
157,Coxon,Carol,,,,,no profiles found with current query
158,Craig,Ann Marie,Djavad Mowafaghian Centre for Brain Health,7201507943,,NEUR (88); BIOC (78); MEDI (26),
159,Crawford,Tanya,,,,,no profiles found with current query
160,Crawford,Anne,,,,,no profiles found with current query
161,Crowell,Timothy A.,The University of British Columbia,6603815296,,PSYC (19); NEUR (8); MEDI (8),
162,Culo,Sandi,The University of British Columbia,14621580400,,MEDI (5); PSYC (1); NURS (1),
163,Cunningham,Melissa,,,,,no profiles found with current query
164,Darabian,Kaveh,,,,,no profiles found with current query
165,Davis,Lindsay,St. Paul's Hospital,,,MEDI (1); NEUR (1),!!! profile for Lindsay Davis does not pass addition condition
166,de Luca,Marina,University of British Columbia Okanagan,,,MEDI (6); NURS (3); NEUR (2),!!! profile for Marina de Luca does not pass addition condition
167,de Rappard,Sherry,,,,,no profiles found with current query
168,Degenhardt,Amanda,The University of British Columbia,56471624300,,NEUR (4); MEDI (3); BIOC (2),
169,Derocher,Christopher,,,,,no profiles found with current query
170,Derry,Heather,,,,,no profiles found with current query
171,Dhaese,Marie-José,,,,,no profiles found with current query
172,Dhaliwal,Kuljit,The University of British Columbia,54683690300,,MEDI (1),
173,Dhariwal,Amrit K.,The University of British Columbia,57209706536,0000-0001-5724-5584,MEDI (10); PSYC (9); SOCI (3),
174,Diamond,Adele,"University of British Columbia, Faculty of Medicine",7102727063,0000-0002-1453-6434,PSYC (78); NEUR (39); MEDI (31),
175,Dimov,Marius,,,,,no profiles found with current query
176,Doan,Nam,,,,,no profiles found with current query
177,Docherty,Claire,"University of British Columbia, Faculty of Medicine",57720890400,,MEDI (1),
178,Dodd,Lindsay,,,,,no profiles found with current query
179,Dodge,Liam,,,,,no profiles found with current query
180,Donahue,Birgitta,,,,,no profiles found with current query
181,Donaldson,Heather,,,,,no profiles found with current query
182,Dosanjh,Robbie,,,,,no profiles found with current query
183,Douziech,Jeffery R.,BC​ Children​'​​s Hospital,,,MEDI (4),!!! profile for Jeffrey Douziech does not pass addition condition
184,Douziech,Ingrid,,,,,no profiles found with current query
185,Dowey,Michael,,,,,no profiles found with current query
186,D&amp;apos;Oyley,Heather M.,Vancouver General Hospital,,,NEUR (2); PHAR (2); MEDI (1),!!! profile for Heather d'Oyley does not pass addition condition
187,Drabkin,Rodney,,,,,no profiles found with current query
188,Drance,Elisabeth,The University of British Columbia,14424084600,,SOCI (6); MEDI (4); ARTS (3),
189,Driscoll,Miriam,The University of British Columbia,56611493100,,MEDI (19); PSYC (4); BIOC (3),
190,Drouillard,Natalie,The University of British Columbia,55605236300,,MEDI (1),
191,Dua,Vikram,British Columbia Autism Assessment Network,,,MEDI (7); PSYC (1),!!! profile for Vikram Dua does not pass addition condition
192,Duncalf,Cliff,,,,,no profiles found with current query
193,Duncan,Don,BC Interior ADHD Clinic,,,MEDI (4); PSYC (2),!!! profile for Don Duncan does not pass addition condition
194,Dunn,Patrice M.,The University of British Columbia,7401710339,,MEDI (1),
195,Duru,Doris,,,,,no profiles found with current query
196,Ebenstiner,Janice,,,,,no profiles found with current query
197,Edalati,Kourosh,BC Children's Hospital Research Institute,,,MEDI (2),!!! profile for Kourosh Edalati does not pass addition condition
198,Edirmanasinghe,Dimitri,,,,,no profiles found with current query
199,Edwards,Katherine R.,The University of British Columbia,7402956237,,MEDI (7); NEUR (5); PHAR (4),
200,Eksteen,Hendri-Charl,,,,,no profiles found with current query
201,Elahi,Fawad,,,,,no profiles found with current query
202,Elefante,Raymond Julius Obena,,,,,no profiles found with current query
203,Elfers,Theo,,,,,no profiles found with current query
204,Elliott,Katherine P.,The University of British Columbia,56124508300,,PSYC (5); MEDI (4); ARTS (1),
205,Emes,Craig,,,,,no profiles found with current query
206,Erickson,Dave,,,,,no profiles found with current query
207,Esau,Steven,,,,,no profiles found with current query
208,Eslami,Ali,BC​ Children​'​​s Hospital,,,MEDI (12); MATH (1); COMP (1),!!! profile for Ali Eslami does not pass addition condition
209,Esmaili,Haydeh,,,,,no profiles found with current query
210,Eswar,Shruthi,,,,,no profiles found with current query
211,Evans,Anush,"University of British Columbia, Faculty of Medicine",58465847500,,MEDI (3),
212,Fabian,James,,,,,no profiles found with current query
213,Fabriel-Leclerc,Christin,,,,,no profiles found with current query
214,Fadeyi,Oludare,,,,,no profiles found with current query
215,Fahy,Mellisa J.,UBC Hospital,7007123330,,MEDI (6); BIOC (2),
216,Fantus,Claire,,,,,no profiles found with current query
217,Faraz,Muniba,,,,,no profiles found with current query
218,Fedoroff,Ingrid C.,"University of British Columbia, Faculty of Medicine",6603312534,,MEDI (18); PSYC (10); NEUR (8),
219,Fennemore,Marie,"St. Paul's Hospital, Vancouver",,,MEDI (3); PSYC (2); ARTS (1),!!! profile for Marie Fennemore does not pass addition condition
220,Ferguson,Gisele,,,,,no profiles found with current query
221,Fernando,Nadeesha,The University of British Columbia,9242836600,,MEDI (1),
222,Fibiger,Hans Christian,The University of British Columbia,35478938200,,NEUR (534); PHAR (273); BIOC (258),
223,Finch,Susan,,,,,no profiles found with current query
224,Fine,Stuart H.,The University of British Columbia,7102143837,,MEDI (54); PSYC (36); NEUR (4),
225,Flannigan,Stacy,,,,,no profiles found with current query
226,Fleming,Katherine,,,,,no profiles found with current query
227,Flynn,Sean W.,The University of British Columbia,7007046066,,MEDI (31); NEUR (21); PSYC (10),
228,Forbes,Ian,Vancouver General Hospital,,,NEUR (3); PSYC (1); MEDI (1),!!! profile for Ian Forbes does not pass addition condition
229,Fox,Joel,The University of British Columbia,57198663486,,MEDI (3); BIOC (1),
230,Frangou,Sophia,"University of British Columbia, Faculty of Medicine",7004549374,,MEDI (411); NEUR (222); PSYC (69),
231,Frankland,Allan,,,,,no profiles found with current query
232,Fredrikson,Diane Helen,,,,,no profiles found with current query
233,Freedman,Glen,The University of British Columbia,15044222600,,PSYC (2),
234,Freer,Janya,,,,,no profiles found with current query
235,French,Kelly,,,,,no profiles found with current query
236,Frew,Patricia,,,,,no profiles found with current query
237,Frie,Roger,Simon Fraser University,,,PSYC (74); MEDI (32); ARTS (9),!!! profile for Roger Frie does not pass addition condition
238,Friesen,Wesley Howard,,,,,no profiles found with current query
239,Frizen,Oxana,,,,,no profiles found with current query
240,Froese,Colleen L.,The University of British Columbia,6602314982,,CHEM (3); MEDI (3); MATE (2),
241,Frolic,Natasha,,,,,no profiles found with current query
242,Fulton,Heather,,,,,no profiles found with current query
243,Fung,Kathryn,The University of British Columbia,57211860093,,MEDI (2); SOCI (2),
244,Fung,Jonathan,The University of British Columbia,7203073310,,MEDI (3); PSYC (2); AGRI (1),
245,Furigay,Yvetta,,,,,no profiles found with current query
246,Furlong,Allan,,,,,no profiles found with current query
247,Galloway,Ashley,,,,,no profiles found with current query
248,Gambetti,Andrea,,,,,no profiles found with current query
249,Gamble,Allison,The University of British Columbia,57192556775,,SOCI (1); MEDI (1),
250,Gambouras,Adam,,,,,no profiles found with current query
251,Gandham,Natasha,,,,,no profiles found with current query
252,Gandhi,Priya,,,,,no profiles found with current query
253,Gannon,Shivaun Rose,,,,,no profiles found with current query
254,Gansner,Melissa,,,,,no profiles found with current query
255,Garbett,Sally,,,,,no profiles found with current query
256,Geisler,Robert,,,,,no profiles found with current query
257,Geizer,Marie,,,,,no profiles found with current query
258,Geller,Josie,The University of British Columbia,36004382200,,MEDI (96); PSYC (65); NURS (17),
259,Genge,Margot,,,,,no profiles found with current query
260,Gibson,Peter G.,"The University of Newcastle, Australia",,,MEDI (1211); IMMU (119); BIOC (79),!!! profile for Peter Gibson does not pass addition condition
261,Gicas,Kristina M.,York University,,,MEDI (67); NEUR (19); PSYC (19),!!! profile for Kristina Gicas does not pass addition condition
262,Gilks,Thea,The University of British Columbia,57201668645,,PHAR (1); MEDI (1); ENVI (1),
263,Gill,Jitender,,,,,no profiles found with current query
264,Gill,Nadia,,,,,no profiles found with current query
265,Gill,Sharleen,,,,,no profiles found with current query
266,Gillespie,Ian A.,"University of British Columbia, Faculty of Medicine",36544823500,,MEDI (5); HEAL (1),
267,Gillis,Randall L.,University of Waterloo,,,PSYC (10); SOCI (4); ARTS (2),!!! profile for Randall Gillis does not pass addition condition
268,Goresky,Walter,Stony Brook University,,,SOCI (2); MEDI (1),!!! profile for Walter Goresky does not pass addition condition
269,Gourdeau,Julie,,,,,no profiles found with current query
270,Grech,Theresa,,,,,no profiles found with current query
271,Greenaway,Masa'il,BC Children's Hospital,,,MEDI (2),!!! profile for Masa'Il Greenaway does not pass addition condition
272,Gregoryanz,Tatiana,,,,,no profiles found with current query
273,Gregson,Alison,,,,,no profiles found with current query
274,Grewal,Seena,,,,,no profiles found with current query
275,Grewal,Gurinder S.,"St. Joseph's Medical Center, Stockton",,,MEDI (5); BIOC (1); NURS (1),!!! profile for Gurinder Grewal does not pass addition condition
276,Griffiths,Brenda Lee,,,,,no profiles found with current query
277,Grimminck,Rachel,,,,,no profiles found with current query
278,Grishin,Nataliya,,,,,no profiles found with current query
279,Guan,Brian,,,,,no profiles found with current query
280,Gubanov,Alexander,,,,,no profiles found with current query
281,Gutteridge,Ursula,,,,,no profiles found with current query
282,Ha,Kyooseob,Seoul National University College of Medicine,,,MEDI (166); NEUR (64); PSYC (32),!!! profile for Kyooseob Ha does not pass addition condition
283,Habibi,Mehrdad,,,,,no profiles found with current query
284,Haddon,Craig,,,,,no profiles found with current query
285,Hadjipavlou,George Alexander,,,,,no profiles found with current query
286,Halischuk,Grant,,,,,no profiles found with current query
287,Hallam,Elisabeth,,,,,no profiles found with current query
288,Halli,Priyanka S.,"University of British Columbia, Faculty of Medicine",26429281700,,MEDI (20); PSYC (3); MULT (1),
289,Hameer,Faiza,,,,,no profiles found with current query
290,Hanon,Neil,,,,,no profiles found with current query
291,Haque,Zia-Ui,,,,,no profiles found with current query
292,Haque,Farhan,,,,,no profiles found with current query
293,Haring,Michelle,The University of British Columbia,7006162504,,SOCI (4); PSYC (2),
294,Harrison,Richard L.,The University of British Columbia,7403907599,,PSYC (4); MEDI (3); BUSI (1),
295,Harvey,Layne Joseph,,,,,no profiles found with current query
296,Harvey,Caroline,,,,,no profiles found with current query
297,Hassan,Islam K.,The University of British Columbia,55539363500,,MEDI (24); NEUR (6),
298,Hathaway,Lorraine,,,,,no profiles found with current query
299,Heaven,Roberta K.B.,McMaster University,,,MEDI (8); NEUR (4); SOCI (2),!!! profile for Roberta Heaven does not pass addition condition
300,Heilbrunn,David,,,,,no profiles found with current query
301,Heng,Kenneth,,,,,no profiles found with current query
302,Henriques,Emilia,,,,,no profiles found with current query
303,Hewapathirane,Daminda,,,,,no profiles found with current query
304,Hinkle,Molli,,,,,no profiles found with current query
305,Ho,Charles,"University of British Columbia, Faculty of Medicine",57215122810,,MEDI (1); SOCI (1),
306,Hodelet,Nicola,,,,,no profiles found with current query
307,Hoffman,Joanne,,,,,no profiles found with current query
308,Holdsworth,Rosalynd,,,,,no profiles found with current query
309,Holland Biggs,Karen,,,,,no profiles found with current query
310,Honer,William G.,"University of British Columbia, Faculty of Medicine",7004460814,0000-0002-7628-5108,MEDI (664); NEUR (364); PSYC (113),
311,Hong,Kyung Sue,The University of British Columbia,26655604800,0000-0002-1250-6151,MEDI (111); NEUR (44); PSYC (17),
312,Hope,Kim,,,,,no profiles found with current query
313,Hosenbocus,Sheik,,,,,no profiles found with current query
314,Howard,Andrew K.,"University of British Columbia, Faculty of Medicine",34770101000,,MEDI (29); NEUR (8); PSYC (5),
315,Howell-Jones,Gail,The University of British Columbia,6507383072,,PSYC (1),
316,Howson,Anne L.,Vancouver General Hospital,,,NEUR (1); MEDI (1),!!! profile for Anne Howson does not pass addition condition
317,Hui,Jacqueline C.W.,,,,,no profiles found with current query
318,Hurst-Martin,Victoria,,,,,no profiles found with current query
319,Hussain,Ijaz,,,,,no profiles found with current query
320,Hutnyk,David,,,,,no profiles found with current query
321,Ignaszewski,Martha J.,Vancouver General Hospital,,,MEDI (20); PSYC (2); PHAR (2),!!! profile for Martha Ignaszewski does not pass addition condition
322,Ilcewicz-Klimek,Magdalena I.,Vancouver General Hospital,,,MEDI (7); NEUR (1),!!! profile for Magdalena Ilcewicz-Klimek does not pass addition condition
323,Illing,Martin,The University of British Columbia,26040773700,,MEDI (1),
324,Inglis,Angela J.,"University of British Columbia, Faculty of Medicine",54684116800,,MEDI (39); BIOC (9); MULT (1),
325,Iro,Chinedu,,,,,no profiles found with current query
326,Irwin,David A.J.,,,,,no profiles found with current query
327,Ishkanian,Ryan,,,,,no profiles found with current query
328,Iskander,Sam,,,,,no profiles found with current query
329,Iverson,Grant L.,Spaulding Rehabilitation Hospital Network,,,MEDI (729); PSYC (310); NEUR (139),!!! profile for Grant Iverson does not pass addition condition
330,Jabbar,Faraz,University of Northern British Columbia,,,MEDI (18); PSYC (8); ARTS (6),!!! profile for Faraz Jabbar does not pass addition condition
331,Jabbar,Faiza,,,,,no profiles found with current query
332,Jagdeo,Arun,The University of British Columbia,57199353619,,MEDI (1),
333,Jakovljevic,Ivana,,,,,no profiles found with current query
334,Jang,Kerry L.,"University of British Columbia, Faculty of Medicine",7201796278,,MEDI (210); PSYC (98); NEUR (29),
335,Jani,Aarti,,,,,no profiles found with current query
336,Janke,Paul,,,,,no profiles found with current query
337,Jee,Pamela,,,,,no profiles found with current query
338,Jenkins,Toyin,,,,,no profiles found with current query
339,Jewett,Ashley,,,,,no profiles found with current query
340,Jia,Lingsa,"University of British Columbia, Faculty of Medicine",57214891367,,MEDI (5),
341,Jitlina,Ekaterina,,,,,no profiles found with current query
342,Jiwa,Abdulkarim,,,,,no profiles found with current query
343,Jokic,Iva,,,,,no profiles found with current query
344,Jones,Carolyn,,,,,no profiles found with current query
345,Joshi,Hemlata,,,,,no profiles found with current query
346,Jukes,Tara,BC​ Children​'​​s Hospital,,,PSYC (1); BIOC (1); MEDI (1),!!! profile for Tara Jukes does not pass addition condition
347,Junaid,Sara,,,,,no profiles found with current query
348,Kaicker,Navin,,,,,no profiles found with current query
349,Kalenchuk,Anna Lynn,,,,,no profiles found with current query
350,Kanagarajan,Padmavathy,,,,,no profiles found with current query
351,Kandasamysomasundaram,Parthasarathy,,,,,no profiles found with current query
352,Kane,Barbara,,,,,no profiles found with current query
353,Kang,Gurmit,,,,,no profiles found with current query
354,Kang,Nirmal,"Riverview Hospital, Coquitlam",,,MEDI (10); NURS (1); BIOC (1),!!! profile for Nirmal Kang does not pass addition condition
355,Kang,Arvind,,,,,no profiles found with current query
356,Karakoc,Anastasia,,,,,no profiles found with current query
357,Karapareddy,Venugopal,,,,,no profiles found with current query
358,Kashif,Muhammad,,,,,no profiles found with current query
359,Katta,Balaraju,,,,,no profiles found with current query
360,Kaye,Valerie,,,,,no profiles found with current query
361,Kealy,David,"University of British Columbia, Faculty of Medicine",36022490700,0000-0002-3679-6085,MEDI (237); PSYC (125); SOCI (30),
362,Kegel,Sheila,,,,,no profiles found with current query
363,Kennedy,Andrea L.,"University of British Columbia, Faculty of Medicine",57221478702,,MEDI (3),
364,Kennedy,Christine M.,The University of British Columbia,56021008700,,MEDI (2),
365,Kennedy,Kristine Alexandra,,,,,no profiles found with current query
366,Keramatian,Kamyar,Coastal Early Psychosis Intervention Program,,,MEDI (48); NEUR (14); PSYC (4),!!! profile for Kamyar Keramatian does not pass addition condition
367,Khan,Mohammad,The University of British Columbia,13310326200,,MEDI (9); IMMU (2); ENVI (1),
368,Khan,Shah,,,,,multiple profiles; no best match
369,Khan,Muhammad,,,,,multiple profiles; no best match
370,Khanbhai,Irfan,Vancouver General Hospital,,,MEDI (3); NEUR (1); PSYC (1),!!! profile for Irfan Khanbhai does not pass addition condition
371,Khattak,Abid,,,,,no profiles found with current query
372,Khosa,Buldip,,,,,no profiles found with current query
373,Khurram,Shahzad,,,,,no profiles found with current query
374,Killough,Russet,,,,,no profiles found with current query
375,King,Ian,,,,,no profiles found with current query
376,Klein,Carolin,West Coast Centre for Sex Therapy,,,MEDI (28); SOCI (10); PSYC (9),!!! profile for Carolin Klein does not pass addition condition
377,Knebel,Ryan,,,,,no profiles found with current query
378,Kobiljski,Jasmina,The University of British Columbia,16042328100,,BIOC (2),
379,Koczapski,Andrzej B.,The University of British Columbia,6602154141,,MEDI (16); NEUR (5); PSYC (2),
380,Kolchak,Andriy,,,,,no profiles found with current query
381,Kolisang,Mohau,,,,,no profiles found with current query
382,Koo,Anson,,,,,no profiles found with current query
383,Kope,Terry M.,The University of British Columbia,6506567676,,MEDI (5); PSYC (2),
