,title,eid,publication year,authors,last name,first name,member id,irp,2018,2019,2020,2021,2022,2023
13,Aβ oligomers induce pathophysiological mGluR5 signaling in Alzheimer's disease model mice in a sex-selective manner,2-s2.0-85098131416,2020,"Abd-Elrahman, Khaled S.;Albaker, Awatif;de Souza, Jessica M.;Ribeiro, Fabiola M.;Schlossmacher, Michael G.;Tiberi, Mario;Hamilton, Alison;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,9,15,7
14,Targeting vesicular glutamate transporter machinery: Implications on metabotropic glutamate receptor 5 signaling and behavior,2-s2.0-85090179072,2020,"Ibrahim, Karim S.;Abd-Elrahman, Khaled S.;El Mestikawy, Salah;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,6,3,4
15,MGluR5 regulates REST/NRSF signaling through N-cadherin/β-catenin complex in Huntington's disease,2-s2.0-85090178131,2020,"De Souza, Jéssica M.;Abd-Elrahman, Khaled S.;Ribeiro, Fabiola M.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,3,6,2
16,MGluR5 Contribution to Neuropathology in Alzheimer Mice Is Disease Stage-Dependent,2-s2.0-85088850670,2020,"Abd-Elrahman, Khaled S.;Hamilton, Alison;Albaker, Awatif;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,6,5,9,4
17,mGluR5 Allosteric Modulation Promotes Neurorecovery in a 6-OHDA-Toxicant Model of Parkinson’s Disease,2-s2.0-85075346550,2020,"Farmer, Kyle;Abd-Elrahman, Khaled S.;Derksen, Alexa;Rowe, Elyn M.;Thompson, Ashley M.;Rudyk, Christopher A.;Prowse, Natalie A.;Dwyer, Zachary;Bureau, Samantha C.;Fortin, Teresa;Ferguson, Stephen S.G.;Hayley, Shawn",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,3,4,5,4
18,Amelioration of perivascular adipose inflammation reverses vascular dysfunction in a model of nonobese prediabetic metabolic challenge: potential role of antidiabetic drugs,2-s2.0-85070517518,2019,"Elkhatib, Mohammed A.W.;Mroueh, Ali;Rafeh, Rim W.;Sleiman, Fatima;Fouad, Hosny;Saad, Evan I.;Fouda, Mohamed A.;Elgaddar, Ola;Issa, Khodr;Eid, Ali H.;Eid, Assaad A.;Abd-Elrahman, Khaled S.;El-Yazbi, Ahmed F.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,1,7,7,8,1
19,Structural determinants governing β-arrestin2 interaction with PDZ proteins and recruitment to CRFR1,2-s2.0-85069845225,2019,"Gupta, S.;Abd-Elrahman, Khaled S.;Albaker, Awatif;Dunn, Henry A.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,3,3,1,3
20,Podocyte NADPH Oxidase 5 Promotes Renal Inflammation Regulated by the Toll-Like Receptor Pathway,2-s2.0-85063075055,2019,"Holterman, Chet E.;Boisvert, Naomi C.;Thibodeau, Jean François;Kamto, Eldjonai;Novakovic, Melica;Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.;Kennedy, Christopher R.J.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,3,7,5,2,3
21,Modulation of mTOR and CREB pathways following mGluR5 blockade contribute to improved Huntington's pathology in zQ175 mice,2-s2.0-85064132864,2019,"Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,2,15,7,10,7
22,GRK2 knockdown in mice exacerbates kidney injury and alters renal mechanisms of blood pressure regulation,2-s2.0-85050820157,2018,"Tutunea-Fatan, Elena;Abd-Elrahman, Khaled S.;Thibodeau, Jean Francois;Holterman, Chet E.;Holleran, Brian J.;Leduc, Richard;Kennedy, Christopher R.J.;Gros, Robert;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,2,0,1,5,0
23,Autophagy is increased following either pharmacological or genetic silencing of mGluR5 signaling in Alzheimer's disease mouse models,2-s2.0-85045196406,2018,"Abd-Elrahman, Khaled S.;Hamilton, Alison;Vasefi, Maryam;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,6,5,7,8,4
24,mGluR5 antagonism increases autophagy and prevents disease progression in the zQ175 mouse model of Huntington’s disease,2-s2.0-85039172923,2017,"Abd-Elrahman, Khaled S.;Hamilton, Alison;Hutchinson, Shaunessy R.;Liu, Fang;Russell, Ryan C.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,5,5,12,10,10,7
25,ROK and arteriolar myogenic tone generation: Molecular evidence in health and disease,2-s2.0-85014735935,2017,"El-Yazbi, Ahmed F.;Abd-Elrahman, Khaled S.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,3,2,3,5,1
26,Abnormal myosin phosphatase targeting subunit 1 phosphorylation and actin polymerization contribute to impaired myogenic regulation of cerebral arterial diameter in the type 2 diabetic Goto-Kakizaki rat,2-s2.0-85006511789,2017,"Abd-Elrahman, Khaled S.;Colinas, Olaia;Walsh, Emma J.;Zhu, Hai Lei;Campbell, Christine M.;Walsh, Michael P.;Cole, William C.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,3,3,3,1,2,1
27,Vascular Smooth Muscle-Specific EP4 Receptor Deletion in Mice Exacerbates Angiotensin II-Induced Renal Injury,2-s2.0-84991712767,2016,"Thibodeau, Jean Francois;Holterman, Chet E.;He, Ying;Carter, Anthony;Cron, Gregory O.;Boisvert, Naomi C.;Abd-Elrahman, Khaled S.;Hsu, Karolynn J.;Ferguson, Stephen S.G.;Kennedy, Christopher R.J.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,1,1,2,0,4,0
28,PKC-mediated cerebral vasoconstriction: Role of myosin light chain phosphorylation versus actin cytoskeleton reorganization,2-s2.0-84929705321,2015,"El-Yazbi, Ahmed F.;Abd-Elrahman, Khaled S.;Moreno-Dominguez, Alejandro",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,7,3,5,2,0,2
29,Abnormal Rho-associated kinase activity contributes to the dysfunctional myogenic response of cerebral arteries in type 2 diabetes,2-s2.0-84924130733,2015,"Abd-Elrahman, Khaled S.;Walsh, Michael P.;Cole, William C.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,1,2,1,2,2,0
30,Adult expression of Semaphorins and Plexins is essential for motor neuron survival,2-s2.0-85152266156,2023,"Vaikakkara Chithran, Aarya;Allan, Douglas W.;O’Connor, Timothy P.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,0,0,0,0
31,Dichotomous cis-regulatory motifs mediate the maturation of the neuromuscular junction by retrograde BMP signaling,2-s2.0-85139375385,2022,"Vuilleumier, Robin;Miao, Mo;Medina-Giro, Sonia;Ell, Clara Maria;Flibotte, Stephane;Lian, Tianshun;Kauwe, Grant;Collins, Annie;Ly, Sophia;Pyrowolakis, George;Pejmun Haghighi, A.;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,0,0,0,0
32,"The Hinge Region of the Israeli Acute Paralysis Virus Internal Ribosome Entry Site Directs Ribosomal Positioning, Translational Activity, and Virus Infection",2-s2.0-85126148554,2022,"Kirby, Mathew P.;Stevenson, Ciara;Worrall, Liam J.;Chen, Yihang;Young, Christina;Youm, Jisoo;Strynadka, Natalie C.J.;Allan, Douglas W.;Jan, Eric",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,0,0,1,1
33,A scalable Drosophila assay for clinical interpretation of human PTEN variants in suppression of PI3K/AKT induced cellular proliferation,2-s2.0-85114784524,2021,"Ganguly, Payel;Madonsela, Landiso;Chao, Jesse T.;Loewen, Christopher J.R.;O'Connor, Timothy P.;Verheyen, Esther M.;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,0,0,2,2
34,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,2-s2.0-85083991959,2020,"Post, Kathryn L.;Belmadani, Manuel;Ganguly, Payel;Meili, Fabian;Dingwall, Riki;McDiarmid, Troy A.;Meyers, Warren M.;Herrington, Caitlin;Young, Barry P.;Callaghan, Daniel B.;Rogic, Sanja;Edwards, Matthew;Niciforovic, Ana;Cau, Alessandro;Rankin, Catharine H.;O’Connor, Timothy P.;Bamji, Shernaz X.;Loewen, Christopher J.R.;Allan, Douglas W.;Pavlidis, Paul;Haas, Kurt",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,2,8,10,3
35,A low affinity cis-regulatory bmp response element restricts target gene activation to subsets of drosophila neurons.,2-s2.0-85095703281,2020,"Berndt, Anthony J.E.;Othonos, Katerina M.;Lian, Tianshun;Flibotte, Stephane;Miao, Mo;Buiyan, Shamsuddin;Cho, Raymond Y.;Fong, Justin S.;Hur, Seo Am;Pavlidis, Paul;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,0,0,2,0
36,Retrograde BMP signaling activates neuronal gene expression through widespread deployment of a conserved BMP-responsive cis-regulatory activation element,2-s2.0-85060597878,2019,"Vuilleumier, Robin;Lian, Tianshun;Flibotte, Stephane;Khan, Zaynah N.;Fuchs, Alisa;Pyrowolakis, George;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,3,2,1,3,0
37,IRES-dependent ribosome repositioning directs translation of a +1 overlapping ORF that enhances viral infection,2-s2.0-85058922286,2018,"Kerr, Craig H.;Wang, Qing S.;Moon, Kyung Mee;Keatings, Kathleen;Allan, Douglas W.;Foster, Leonard J.;Jan, Eric",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,2,3,4,1,1
38,Segmentally homologous neurons acquire two different terminal neuropeptidergic fates in the Drosophila nervous system,2-s2.0-85045248206,2018,"Gabilondo, Hugo;Rubio-Ferrera, Irene;Losada-Pérez, María;Del Saz, Delia;León, Yolanda;Molina, Isabel;Torroja, Laura;Allan, Douglas W.;Benito-Sipos, Jonathan",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,2,0,4,0
39,Drosophila female-specific Ilp7 motoneurons are generated by fruitless-dependent cell death in males and by a double-assurance survival role for transformer in females,2-s2.0-85040763404,2018,"Garner, Sarah Rose C.;Castellanos, Monica C.;Baillie, Katherine E.;Lian, Tianshun;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,1,0,5,1,3
40,HMMR acts in the PLK1-dependent spindle positioning pathway and supports neural development,2-s2.0-85036587539,2017,"Connell, Marisa;Chen, Helen;Jiang, Jihong;Kuan, Chia Wei;Fotovati, Abbas;Chu, Tony L.H.;He, Zhengcheng;Lengyell, Tess C.;Li, Huaibiao;Kroll, Torsten;Li, Amanda M.;Goldowitz, Daniel;Frappart, Lucien;Ploubidou, Aspasia;Patel, Millan S.;Pilarski, Linda M.;Simpson, Elizabeth M.;Lange, Philipp F.;Allan, Douglas W.;Maxwell, Christopher A.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,7,2,7,13,5,1
41,The Ih channel gene promotes synaptic transmission and coordinated movement in Drosophila melanogaster,2-s2.0-85014039981,2017,"Hegle, Andrew P.;Frank, C. Andrew;Berndt, Anthony;Klose, Markus;Allan, Douglas W.;Accili, Eric A.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,1,0,1,1,1,0
42,Disruption of stress granule formation by the multifunctional cricket paralysis virus 1A protein,2-s2.0-85013869617,2017,"Khong, Anthony;Kerr, Craig H.;Yeung, Clarence H.L.;Keatings, Kathleen;Nayak, Arabinda;Allan, Douglas W.;Jan, Eric",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,3,7,2,3,5,1
43,Advances in understanding the generation and specification of unique neuronal sub-types from Drosophila neuropeptidergic neurons,2-s2.0-85017040282,2016,"Thor, Stefan;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,0,0,0,0,0,0
44,Rescue from tau-induced neuronal dysfunction produces insoluble tau oligomers,2-s2.0-84948399794,2015,"Cowan, Catherine M.;Quraishe, Shmma;Hands, Sarah;Sealey, Megan;Mahajan, Sumeet;Allan, Douglas W.;Mudher, Amritpal",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,4,4,1,4,1,4
45,"Transcriptional selectors, masters, and combinatorial codes: Regulatory principles of neural subtype specification",2-s2.0-84938744517,2015,"Allan, Douglas W.;Thor, Stefan",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,4,10,17,8,7,5
46,Gene Regulatory Mechanisms Underlying the Spatial and Temporal Regulation of Target-Dependent Gene Expression in Drosophila Neurons,2-s2.0-84953216453,2015,"Berndt, Anthony J.E.;Tang, Jonathan C.Y.;Ridyard, Marc S.;Lian, Tianshun;Keatings, Kathleen;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,2,1,2,0,2,0
47,The 5' untranslated region of a novel infectious molecular clone of the dicistrovirus cricket paralysis virus modulates infection,2-s2.0-84929620208,2015,"Kerr, Craig H.;Wang, Qing S.;Keatings, Kathleen;Khong, Anthony;Allan, Douglas;Yip, Calvin K.;Foster, Leonard J.;Jan, Eric",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,5,0,4,2,7,2
48,Secretory Carrier Membrane Protein (SCAMP) deficiency influences behavior of adult flies,2-s2.0-85054879949,2014,"Zheng, Jia Lin C.;Tham, Chook Teng;Keatings, Kathleen;Fan, Steven;Liou, Angela Yen Chun;Numata, Yuka;Allan, Douglas;Numata, Masayuki",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,1,1,3,3,3,0
49,Homeotic Function of Drosophila Bithorax-Complex miRNAs Mediates Fertility by Restricting Multiple Hox Genes and TALE Cofactors in the CNS,2-s2.0-84904672975,2014,"Garaulet, Daniel L.;Castellanos, Monica C.;Bejarano, Fernando;Sanfilippo, Piero;Tyler, David M.;Allan, Douglas W.;Sánchez-Herrero, Ernesto;Lai, Eric C.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,4,1,5,6,3,2
50,Female-biased dimorphism underlies a female-specific role for post-embryonic Ilp7 neurons in Drosophila fertility,2-s2.0-84883251071,2013,"Castellanos, Monica C.;Tang, Jonathan C.Y.;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,5,2,2,5,5,1
51,Subtype-specific neuronal remodeling during drosophila metamorphosis,2-s2.0-84876180375,2013,"Veverytsa, Lyubov;Allan, Douglas W.",Allan,Douglas,7201584872,Brain Development & Neurodevelopmental Disorders,2,0,3,2,0,1
52,Innexin-Mediated Adhesion between Glia Is Required for Axon Ensheathment in the Peripheral Nervous System,2-s2.0-85151312399,2023,"Das, Mriga;Cheng, Duo;Matzat, Till;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,0,0,0,0,0,0
53,Overexpressed gliotactin activates bmp signaling through interfering with the tkv–dad association,2-s2.0-85100597383,2021,"Sharifkhodaei, Zohreh;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,0,0,0,0,1,0
54,Basigin associates with integrin in order to regulate perineurial glia and Drosophila nervous system morphology,2-s2.0-85083788000,2020,"Hunter, Amelia C.;Petley-Ragan, Lindsay M.;Das, Mriga;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,0,0,0,1,4,3
55,Scribble and Discs Large mediate tricellular junction formation,2-s2.0-85072561561,2019,"Sharifkhodaei, Zohreh;Gilbert, Mary M.;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,0,0,3,4,3,1
56,Coordination of Septate Junctions Assembly and Completion of Cytokinesis in Proliferative Epithelial Tissues,2-s2.0-85045950718,2018,"Daniel, Emeline;Daudé, Marion;Kolotuev, Irina;Charish, Kristi;Auld, Vanessa;Le Borgne, Roland",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,2,3,5,3,5,3
57,C-terminal Src kinase (Csk) regulates the tricellular junction protein Gliotactin independent of Src,2-s2.0-85041005701,2018,"Gayathri Samarasekera, G. D.N.;Jane Auld, Vanessa",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,1,3,2,1,3,1
58,A Drosophila Model of HPV E6-Induced Malignancy Reveals Essential Roles for Magi and the Insulin Receptor,2-s2.0-84984801950,2016,"Padash Barmchi, Mojgan;Gilbert, Mary;Thomas, Miranda;Banks, Lawrence;Zhang, Bing;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,2,1,0,4,1,2
59,The Drosophila tricellular junction protein Gliotactin regulates its own mRNA levels through BMP-mediated induction of miR-184,2-s2.0-84964010103,2016,"Sharifkhodaei, Zohreh;Padash-Barmchi, Mojgan;Gilbert, Mary M.;Samarasekera, Gayathri;Fulga, Tudor A.;Van Vactor, David;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,2,1,0,1,0,0
60,Magi is associated with the par complex and functions antagonistically with bazooka to regulate the apical polarity complex,2-s2.0-84963732838,2016,"Barmchi, Mojgan Padash;Samarasekera, Gayathri;Gilbert, Mary;Auld, Vanessa J.;Zhang, Bing",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,1,1,1,3,0,0
61,Accumulation of Laminin monomers in Drosophila Glia leads to Glial endoplasmic reticulum stress and disrupted larval locomotion,2-s2.0-84956833340,2016,"Petley-Ragan, Lindsay M.;Ardiel, Evan L.;Rankin, Catharine H.;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,5,4,3,4,3,3
62,Loss of focal adhesions in glia disrupts both glial and photoreceptor axon migration in the Drosophilavisual system,2-s2.0-84904667532,2014,"Xie, Xiaojun;Gilbert, Mary;Petley-Ragan, Lindsay;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,3,1,4,4,2,0
63,Gliotactin and discs large are co-regulated to maintain epithelial integrity,2-s2.0-84877907470,2013,"Padash-Barmchi, Mojgan;Charish, Kristi;Que, Jammie;Auld, Vanessa J.",Auld,Vanessa,7004622834,Brain Development & Neurodevelopmental Disorders,2,2,0,1,0,0
64,The journey from concealment to disclosure of an obsessive-compulsive disorder diagnosis in the high school setting: A qualitative study exploring youth perspectives,2-s2.0-85165664158,2023,"Vallani, Tanisha I.;Naqqash, Zainab;Lin, Boyee;Lu, Cynthia;Austin, Jehannine C.;Stewart, S. Evelyn",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,0
65,Exploring Autistic adults’ perspectives on genetic testing for autism,2-s2.0-85163799375,2023,"Byres, Loryn;Morris, Emily;Austin, Jehannine",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,1
66,"Child and adolescent psychiatrists’ use, attitudes, and understanding of genetic testing and pharmacogenetics in clinical practice",2-s2.0-85158872458,2023,"Soda, Takahiro;Merner, Amanda R.;Small, Brent J.;Torgerson, Laura N.;Muñoz, Katrina;Austin, Jehannine;Storch, Eric A.;Pereira, Stacey;Lázaro-Muñoz, Gabriel",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,0
67,"The impact of receiving polygenic risk scores for alcohol use disorder on psychological distress, risk perception, and intentions to reduce drinking",2-s2.0-85149406763,2023,"Driver, Morgan N.;Kuo, Sally I.Chun;Dron, Jacqueline S.;Austin, Jehannine;Dick, Danielle M.",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,1
68,Clinical genetic counseling and translation considerations for polygenic scores in personalized risk assessments: A Practice Resource from the National Society of Genetic Counselors,2-s2.0-85146083826,2023,"Wand, Hannah;Kalia, Sarah S.;Helm, Benjamin M.;Suckiel, Sabrina A.;Brockman, Deanna;Vriesen, Natalie;Goudar, Ranjit K.;Austin, Jehannine;Yanes, Tatiane",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,0
69,Both sides now: Changing a long-standing pedigree tradition of men on the left and women on the right,2-s2.0-85144146495,2023,"Resta, Robert G.;French, Kathryn Steinhaus;Bennett, Robin L.;Austin, Jehannine",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,0
70,Pharmacogenomic Testing for Major Depression: A Qualitative Study of the Perceptions of People with Lived Experience and Professional Stakeholders,2-s2.0-85143210306,2023,"Slomp, Caitlin;Morris, Emily;Edwards, Louisa;Hoens, Alison M.;Landry, Ginny;Riches, Linda;Ridgway, Lisa;Bryan, Stirling;Austin, Jehannine",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,3
71,Evaluation of out-of-pocket pay genetic testing in a publicly funded healthcare system,2-s2.0-85145751835,2023,"Grant, Peter;Cook, Courtney B.;Langlois, Sylvie;Nuk, Jennifer;Mung, Sze Wing;Zhang, Qian;Lynd, Larry D.;Austin, Jehannine;Elliott, Alison M.",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,0
72,Healthcare decision makers' perspectives on the creation of new genetic counselor positions in North America: Exploring the case for psychiatric genetic counseling,2-s2.0-85144022950,2023,"Chanouha, Nour;Cragun, Deborah L.;Pan, Vivian Y.;Austin, Jehannine C.;Hoell, Christin",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,1
73,Psychiatric genetic counseling: A survey of Australian genetic counselors' practice and attitudes,2-s2.0-85144019969,2023,"Isbister, Joanne;Sexton, Adrienne;Forrest, Laura E.;James, Paul;Dowty, James;Taylor, Jessica;Austin, Jehannine;Winship, Ingrid",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,0
74,Considerations for the use of qualitative methodologies in genetic counseling research,2-s2.0-85140252179,2023,"Wainstein, Tasha;Elliott, Alison M.;Austin, Jehannine C.",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,4
75,A qualitative study exploring the consumer experience of receiving self-initiated polygenic risk scores from a third-party website,2-s2.0-85139203605,2023,"Lowes, Kiara;Borle, Kennedy;Folkersen, Lasse;Austin, Jehannine",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,1
76,Integrating Theory with Education about Genetic Risk for Alcohol Use Disorder: The Effects of a Brief Online Educational Tool on Elements of the Health Belief Model,2-s2.0-85163880733,2023,"Driver, Morgan N.;Kuo, Sally I.Chun;Austin, Jehannine;Dick, Danielle M.",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,0
77,Evaluating treatment outcomes in pharmacogenomic-guided care for major depression: A rapid review and meta-analysis,2-s2.0-85147875845,2023,"Bunka, Mary;Wong, Gavin;Kim, Dan;Edwards, Louisa;Austin, Jehannine;Doyle-Waters, Mary M.;Gaedigk, Andrea;Bryan, Stirling",Austin,Jehannine,7402093250,Mental Health & Addictions,0,0,0,0,0,1
