Panenka,William,Full,Secondary,,,,Primary,1,,,
Pavlidis,Paul,Full,,Primary,,,,1,,ataejQQAAAAJ,
Pelech,Steven,Full,,,Primary,Secondary,,1,,,
Phillips,Anthony,Full,Primary,,,,,1,,,
Pouladi,Mahmoud,Full,,Primary,Secondary,Secondary,,1,,,
Quandt,Jacqueline,Full,,,,Primary,Secondary,1,,,
Ranger,Manon,Full,,Primary,,,,1,,,
Rankin,Catharine ,Full,,Secondary,Primary,,,1,,,
Rauscher,Alexander,Full,,,,,Primary,1,,,
Raymond,Lynn,Full,,,Secondary,Primary,,1,,,
Robertson,Heather,Full,Primary,,,,,0,,,
Robillard ,Julie,Full,Secondary,,Primary,,,1,,,
Rosin,Jessica,Full,,Primary,,,,1,,uPOUqB4AAAAJ,
Roskams,Jane,Full,,Primary,,,,1,,,
Schütz,Christian,Full,Primary,,Secondary,,,1,,C9_vCwsAAAAJ,
Seamans,Jeremy,Full,Primary,,Secondary,,,1,,,
Sekhon,Mypinder ,Full,,,,,Primary,1,,,
Silverberg,Noah,Full,Secondary,,,,Primary,1,,,
Snutch,Terry,Full,,Secondary,,,Primary,1,,mTkQFQ8AAAAJ,https://scholar.google.com/citations?user=mTkQFQ8AAAAJ&hl=en&oi=sra
Snyder,Jason ,Full,,Secondary,Primary,,,1,,,
Soma,Kiran,Full,,Primary,,,,1,,,
Song,Weihong,Full,,,Primary,,,0,,,
Sossi,Vesna,Full,,,,Primary,,1,,5VQTWXgAAAAJ,
Spering,Miriam,Full,,,,Primary,,1,,,
Stewart,Evelyn,Full,Primary,,,,,1,,,
Stoessl,Jon,Full,,,,Primary,,1,,,
Stowe,Robert,Full,Primary,Secondary,,,,0,,,
Subramaniam,Sriram,Full,Primary,,,,,1,,,
Tam,Roger,Full,,,,Primary,,1,,,
Tetzlaff,Wolfram ,Full,,,,Secondary,Primary,1,,HgUvr-IAAAAJ,Professor and Principle Investigator ICORD (International Collaboration on Repair Discoveries
Todd,Rebecca,Full,Primary,,Secondary,,,1,,,
Traboulsee,Tony,Full,,,,Primary,Secondary,0,,,
Tremlett,Helen,Full,Secondary,Secondary,,Primary,,1,,,
Vanderwal,Tamara,Full,Primary,Secondary,,,,1,,,https://scholar.google.com/citations?user=GbV3NC8AAAAJ&hl=en&oi=ao
van Donkelaar,Paul,Full,Secondary,,,,Primary,1,,,
Viau,Victor,Full,Primary,,,,,1,,,
Vigo,Daniel,Full,Primary,,,,,1,,,
Vilarino-Guell,Carles ,Full,,,,Primary,,1,,,
Vila-Rodriguez,Fidel,Full,Primary,,Secondary,Secondary,,1,,,
Virji-Babul,Naznin,Full,,Secondary,Secondary,,Primary,1,,,https://scholar.google.com/citations?user=y20wTxoAAAAJ&hl=en&oi=ao
Wang,Yu Tian,Full,Secondary,Secondary,Secondary,,Primary,1,,,
Ward,Lawrence,Full,,,Primary,,,1,,,
Weber,Alexander,Full,,Primary,,,Secondary,1,,nPuyG8gAAAAJ,
Wellington ,Cheryl,Full,,,Secondary,,Primary,0,,,
Werker,Janet ,Full,,Primary,,Secondary,,1,,58UgsLwAAAAJ,
West,Christopher,Full,,,,Secondary,Primary,1,,yDfV8UsAAAAJ,https://scholar.google.com/citations?user=yDfV8UsAAAAJ&hl=en&oi=ao
Winstanley,Catharine ,Full,Primary,,,,,1,,,
Woodward,Todd,Full,Primary,,Secondary,,,1,,,
Yatham,Lakshmi,Full,Primary,,,,,1,,V4GwdkIAAAAJ,
,,,,,,, ,,,,
