,Last Name,First Name,Affiliation,EIDs,Scopus Author ID,ORCID,Research Areas,Warnings
23,Balakrishnan,Pradeep,KPJ Healthcare University College,9-s2.0-57885245900,57885245900,,BIOC (1); VETE (1); AGRI (1),multiple profiles; affiliation not in list
24,Banno,Brian,British Columbia Cancer Agency,9-s2.0-25227722500,25227722500,,BIOC (2); PHAR (2); AGRI (1),multiple profiles; affiliation not in list
25,Bardell,Andrea L.,University of Ottawa,9-s2.0-6506585181,6506585181,,MEDI (8); NEUR (1); NURS (1),affiliation not in list
26,Bates,Alan Thomas,"University of British Columbia, Faculty of Medicine",9-s2.0-7102492953,7102492953,,MEDI (51); NEUR (21); PSYC (18),
27,Batke,Adrienne,University of Toronto,9-s2.0-56979288900,56979288900,,SOCI (1); MEDI (1),affiliation not in list
28,Beasley,Clare Louise,The University of British Columbia,9-s2.0-7102979717,7102979717,0000-0001-5919-7838,MEDI (52); NEUR (49); BIOC (18),
29,Beaumont,Charl,University of Witwatersrand,9-s2.0-54381549400,54381549400,,MEDI (1),affiliation not in list
30,Bell,Rachel E.,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,9-s2.0-16306367100,16306367100,,MEDI (169); BIOC (14); NEUR (4),multiple profiles; affiliation not in list
31,Benning,Tony B.,"University of British Columbia, Faculty of Medicine",9-s2.0-57212434003,57212434003,,MEDI (22); PSYC (8); SOCI (5),
32,Bhalla,Rishi K.,Vancouver General Hospital,9-s2.0-8743293100,8743293100,,MEDI (27); PSYC (6); NEUR (6),multiple profiles; affiliation not in list
33,Bhasin,Mani,Newcastle General Hospital,9-s2.0-21933319900,21933319900,,MEDI (2),affiliation not in list
34,Bilsker,Dan,"University of British Columbia, Faculty of Medicine",9-s2.0-57203574310,57203574310,,MEDI (28); PSYC (3); NURS (2),
35,Birmingham,Carl Laird,The University of British Columbia,9-s2.0-7005293592,7005293592,0000-0003-4331-2664,MEDI (205); PSYC (77); AGRI (29),
36,Johnson-Bishop,Lindsay,Baylor College of Medicine,9-s2.0-57802242000,57802242000,,MEDI (4); NURS (1),multiple profiles; affiliation not in list
37,Black,Tyler R.,"University of British Columbia, Faculty of Medicine",9-s2.0-56603764900,56603764900,,MEDI (24); PSYC (1); MULT (1),multiple profiles; 
38,Blackburn,David Paul,CSIRO Land and Water,9-s2.0-36015050400,36015050400,,AGRI (15); ENVI (12); BIOC (2),multiple profiles; affiliation not in list
39,Blair,Lindsay,Johns Hopkins School of Medicine,9-s2.0-55342926700,55342926700,,MEDI (16); BIOC (4); NEUR (1),multiple profiles; affiliation not in list
40,Blank,Myles K.,BC Children's and Women's Hospital,9-s2.0-36480923100,36480923100,,PSYC (2); MEDI (2),affiliation not in list
41,Blignaut,Johann,,9-s2.0-56740716500,56740716500,,MEDI (2),affiliation not in list
42,Bodnarchuk,Mark,Service correctionnel du Canada,9-s2.0-6507399756,6507399756,,MEDI (3); PSYC (3); SOCI (2),affiliation not in list
43,Bond,David J.,The University of British Columbia,9-s2.0-14055349400,14055349400,0000-0002-8713-7311,MEDI (149); NEUR (45); PSYC (27),multiple profiles; 
44,Bondar,Jay,Rotman Research Institute,9-s2.0-25932698300,25932698300,,PSYC (1),affiliation not in list
45,Booth,Christopher M.,Queen’s University,9-s2.0-57207704215,57207704215,,MEDI (703); BIOC (119); NURS (15),multiple profiles; affiliation not in list
46,Borowska,Anna,Gdanski Uniwersytet Medyczny,9-s2.0-57208933883,57208933883,,MEDI (5); IMMU (3); BIOC (1),multiple profiles; affiliation not in list
47,Bosc,Anastasia,Eberhard Karls Universität Tübingen,9-s2.0-55515148100,55515148100,,BIOC (2),affiliation not in list
48,Bossé-Chartier,Gabrielle,"University of British Columbia, Faculty of Medicine",9-s2.0-57221873401,57221873401,,MEDI (8); PSYC (2); ARTS (1),
49,Boston,Daniel W.,Kornberg School of Dentistry,9-s2.0-7003422292,7003422292,,DENT (27); MEDI (7); ENGI (1),multiple profiles; affiliation not in list
50,Bota,Melissa,,9-s2.0-57208030873,57208030873,,MEDI (1); SOCI (1),affiliation not in list
51,Boudreau,Ainsley M.,BC​ Children​'​​s Hospital,9-s2.0-35387416500,35387416500,,MEDI (5); PSYC (5),multiple profiles; affiliation not in list
52,Bouffard,Rachelle,McGill University,9-s2.0-6602934543,6602934543,,MEDI (5); PSYC (4); NEUR (1),affiliation not in list
53,Boulding,Rachel,Mental Health and Addiction Services,9-s2.0-8615075000,8615075000,,MEDI (2),affiliation not in list
54,Bourque,Marie Claire,Centre for Addiction and Mental Health,9-s2.0-57191255725,57191255725,,MEDI (1); MULT (1); SOCI (1),affiliation not in list
55,Bow,Simon,Alberta Research Centre for Health Evidence,9-s2.0-36139312400,36139312400,,MEDI (1),affiliation not in list
56,Bozorg Zadeh,Shaghayegh,Mazandaran University of Medical Sciences,9-s2.0-57842419600,57842419600,,DENT (1),affiliation not in list subject mismatch; 
57,Breitman,Deanne R.,Gastrointestinal Research Group,9-s2.0-6506100699,6506100699,,MEDI (3); BIOC (1),affiliation not in list
58,Brennan,Naomi,Wessex Archaeology Ltd,9-s2.0-56954634000,56954634000,,ARTS (3); SOCI (2),affiliation not in list subject mismatch; 
59,Broadway,Lauren N.,University of Louisiana at Monroe,9-s2.0-37661029700,37661029700,,AGRI (2); BIOC (2); MEDI (2),affiliation not in list
60,Bronkhorst,Aletta,The University of British Columbia,9-s2.0-56270019700,56270019700,,MEDI (4),
61,Brost,Philip,University of Alberta,9-s2.0-17433720200,17433720200,,CHEM (1),affiliation not in list subject mismatch; 
62,Broster,Brett S.,The University of British Columbia,9-s2.0-6603832176,6603832176,,NEUR (5); PSYC (3),
63,Brown,James Craig,Amsterdam UMC - Vrije Universiteit Amsterdam,9-s2.0-55574218101,55574218101,,MEDI (104); HEAL (46); NEUR (5),multiple profiles; affiliation not in list
64,Brown,Jesse A.,"University of California, San Francisco",9-s2.0-55724408200,55724408200,,MEDI (86); NEUR (70); BIOC (7),multiple profiles; affiliation not in list
65,Burkey,Matthew D.,Johns Hopkins Bloomberg School of Public Health,9-s2.0-15061045300,15061045300,,MEDI (41); SOCI (4); PSYC (4),multiple profiles; affiliation not in list
66,Burns,Kyle M.,Cumming School of Medicine,9-s2.0-55024354000,55024354000,,BIOC (11); CHEM (4); ENVI (1),multiple profiles; affiliation not in list
67,Pai,Amy Barton,"University of Michigan, Ann Arbor",9-s2.0-7005291993,7005291993,,MEDI (86); PHAR (23); HEAL (8),multiple profiles; affiliation not in list
68,Burrell,Erin,"University of British Columbia, Faculty of Medicine",9-s2.0-57201586576,57201586576,,MEDI (9); ENVI (2); NURS (2),multiple profiles; 
69,Burton,Hannah M.,King's College London,9-s2.0-57192421095,57192421095,,MEDI (8); IMMU (2),multiple profiles; affiliation not in list
70,Butterfield,Michael Chao,Logan Hospital,9-s2.0-56376569800,56376569800,,MEDI (31); PHAR (2); NURS (1),multiple profiles; affiliation not in list
71,Calhoun,Laura,University of Manitoba,9-s2.0-7005899757,7005899757,,MEDI (4); NEUR (3); PSYC (1),affiliation not in list
72,Cameron,Kristjana,"University of British Columbia, Faculty of Medicine",9-s2.0-55644251500,55644251500,,MEDI (2); PSYC (1); NURS (1),
73,Campbell,Helen,UK Health Security Agency,9-s2.0-8332114900,8332114900,,MEDI (227); IMMU (30); BIOC (15),multiple profiles; affiliation not in list
74,Carey,Paul R.,Case Western Reserve University,9-s2.0-7202731396,7202731396,,BIOC (311); CHEM (152); CENG (50),multiple profiles; affiliation not in list
75,Carlson,Stephanie M.,"Department of Environmental Science, Policy, and Management",9-s2.0-35387659000,35387659000,0000-0003-3055-6483,AGRI (102); ENVI (86); MEDI (32),multiple profiles; affiliation not in list
76,Carrion,Prescilla B.,"University of British Columbia, Faculty of Medicine",9-s2.0-55760664000,55760664000,,MEDI (23); BIOC (4); PSYC (3),
77,Carter,Arthur O.,Newcastle University,9-s2.0-7402910421,7402910421,,MEDI (2); ENGI (1); SOCI (1),multiple profiles; affiliation not in list
78,Caruncho,Héctor J.,University of Victoria,9-s2.0-57202594966,57202594966,,NEUR (69); MEDI (56); BIOC (49),multiple profiles; affiliation not in list
79,Staicu-Casagrande,Elena Magdalena,Institut des Sciences Moléculaires d'Orsay,9-s2.0-6602309117,6602309117,,PHYS (68); MATE (7); CHEM (4),affiliation not in list subject mismatch; 
80,Catchpole,Rosalind E.H.,The University of British Columbia,9-s2.0-57210221841,57210221841,,PSYC (6); MEDI (6); SOCI (1),
81,Chachamovich,Eduardo,School of Medicine,9-s2.0-6602444426,6602444426,,MEDI (76); PSYC (16); SOCI (7),multiple profiles; affiliation not in list
82,Chakrabarty,Trisha,"University of British Columbia, Faculty of Medicine",9-s2.0-56521302100,56521302100,,MEDI (82); NEUR (15); PSYC (7),
83,Chakraborty,Tapash,Girijananda Chowdhury Institute of Pharmaceutical Science,9-s2.0-57203104341,57203104341,,MEDI (13); PHAR (12); BIOC (6),multiple profiles; affiliation not in list
84,Chan,Charlena,Camosun College,9-s2.0-56287052300,56287052300,,MEDI (3),multiple profiles; affiliation not in list
85,Chan,Salina B.,UCSF Helen Diller Family Comprehensive Cancer Center,9-s2.0-8846108700,8846108700,,MEDI (25); BIOC (13); MULT (1),multiple profiles; affiliation not in list
86,Chan,Kwan Ho Ryan,Johns Hopkins University,9-s2.0-57217525862,57217525862,,COMP (12); MEDI (5); MATH (2),multiple profiles; affiliation not in list
87,Chapman,Laura,Marie Curie Hospice Liverpool,9-s2.0-57188782367,57188782367,,NURS (12); MEDI (10); SOCI (1),multiple profiles; affiliation not in list
88,Chauhan,Harpreet,"St. Paul's Hospital, Vancouver",9-s2.0-57224143174,57224143174,,MEDI (2),affiliation not in list
89,Cheek,Joanna,The University of British Columbia,9-s2.0-55651125300,55651125300,,MEDI (10); PSYC (3); ENGI (1),
90,Cheung,Pierre,Uppsala Universitet,9-s2.0-57222582302,57222582302,,MEDI (6); BIOC (2); NEUR (1),affiliation not in list
91,Cheung,Bennett Sw,"University of British Columbia, Faculty of Medicine",9-s2.0-57907977000,57907977000,,MEDI (1); PSYC (1),
92,Chin,Danielle,Simon Fraser University,9-s2.0-8619965300,8619965300,,BIOC (1),multiple profiles; affiliation not in list
93,Chin,James C.,Cooperative Research Centres Australia,9-s2.0-7201494593,7201494593,,IMMU (38); VETE (37); AGRI (33),multiple profiles; affiliation not in list
94,Cho,Brian C.,Johns Hopkins School of Medicine,9-s2.0-55341925000,55341925000,,MEDI (52); IMMU (8); NURS (2),multiple profiles; affiliation not in list
95,Cho,Caroline,University of Alberta,9-s2.0-7403100424,7403100424,,NEUR (2); BIOC (2),multiple profiles; affiliation not in list
96,Chodkiewicz,Adam,UBC Hospital,9-s2.0-53872376600,53872376600,,MEDI (2),affiliation not in list
97,Chow,Warren Bryan,David Geffen School of Medicine at UCLA,9-s2.0-36852689400,36852689400,,MEDI (34); NURS (1); BIOC (1),multiple profiles; affiliation not in list
98,Chow,Matthew C.,,9-s2.0-57220592098,57220592098,,MEDI (7),multiple profiles; affiliation not in list
99,Chowdhury,Sheehan H.,The University of British Columbia,9-s2.0-57189730735,57189730735,,MEDI (3),
100,Claman,Jeffery M.,UBC Hospital,9-s2.0-9042835100,9042835100,,MEDI (6); NEUR (1),affiliation not in list
101,Clark,Campbell M.,The University of British Columbia,9-s2.0-35480697600,35480697600,,MEDI (111); NEUR (90); PSYC (64),multiple profiles; 
102,Clarke,Lorne Andrew,BC Children's Hospital Research Institute,9-s2.0-7201975122,7201975122,0000-0003-0512-7281,MEDI (147); BIOC (125); MATH (5),multiple profiles; 
103,Clements,Robert O.,"Institute of Biological, Environmental and Rural Sciences",9-s2.0-7102184241,7102184241,,AGRI (79); ENVI (16); BIOC (3),multiple profiles; affiliation not in list
104,Clift,Robert J.W.,Program Evaluation and Research,9-s2.0-9943895400,9943895400,0000-0002-4216-4631,PSYC (6); MEDI (6); SOCI (3),multiple profiles; affiliation not in list
105,Coelho,Jennifer S.,"University of British Columbia, Faculty of Medicine",9-s2.0-15026048700,15026048700,0000-0001-9907-8067,MEDI (57); PSYC (40); NURS (16),
106,Cohen,Gregory H.,School of Public Health,9-s2.0-56277606900,56277606900,,MEDI (130); PSYC (25); SOCI (13),multiple profiles; affiliation not in list
107,Cohen,Jordan J.,Association of American Medical Colleges,9-s2.0-7410008963,7410008963,,MEDI (204); SOCI (102); NURS (85),multiple profiles; affiliation not in list
108,Cohen,David Jay,Emory University School of Medicine,9-s2.0-55453563100,55453563100,,MEDI (3),affiliation not in list
109,Collins,Jimmie Nelson,Eastern Virginia Medical School,9-s2.0-56165252800,56165252800,,MEDI (1),affiliation not in list
110,Cook,Daniel D.,USDA Agricultural Research Service,9-s2.0-8215928700,8215928700,,AGRI (134); MEDI (62); BIOC (61),multiple profiles; affiliation not in list
111,Cooper,Dan Michael,"University of California, Irvine",9-s2.0-7404355576,7404355576,,MEDI (386); BIOC (194); HEAL (85),multiple profiles; affiliation not in list
112,Cooper,Sally Barry,University of Leeds,9-s2.0-7403303277,7403303277,,MATH (92); COMP (52); BIOC (9),multiple profiles; affiliation not in list
113,Corbyn,Bryony R.,The University of British Columbia,9-s2.0-56644997400,56644997400,,MEDI (4); PSYC (1),
114,Correia,Shauna,The University of British Columbia,9-s2.0-56611553100,56611553100,,MEDI (15); BIOC (2),multiple profiles; 
115,Coupland,Jason,,9-s2.0-24400873600,24400873600,,MEDI (1),affiliation not in list
116,Cox,Darcy,The University of British Columbia,9-s2.0-35474734500,35474734500,,MEDI (12); PSYC (9); NEUR (1),
117,Craig,Ann Marie,Djavad Mowafaghian Centre for Brain Health,9-s2.0-7201507943,7201507943,,NEUR (88); BIOC (78); MEDI (26),multiple profiles; 
118,Crawford,Tanya,Munro Centre,9-s2.0-7102138448,7102138448,,PSYC (4); MEDI (2),multiple profiles; affiliation not in list
119,Crawford,Doreen Anne,Crawford-McKenzie,9-s2.0-7403083759,7403083759,,MEDI (54); NURS (5),multiple profiles; affiliation not in list
120,Crowell,Timothy A.,The University of British Columbia,9-s2.0-6603815296,6603815296,,PSYC (19); NEUR (8); MEDI (8),multiple profiles; 
121,Culo,Sandi,The University of British Columbia,9-s2.0-14621580400,14621580400,,MEDI (5); PSYC (1); NURS (1),
122,Cunningham,Melissa A.,Medical University of South Carolina,9-s2.0-7402830217,7402830217,,MEDI (36); IMMU (15); BIOC (5),multiple profiles; affiliation not in list
123,Darabian,Kaveh,,9-s2.0-57209320583,57209320583,,MEDI (1),affiliation not in list
124,Davis,Lindsay E.,Midwestern University Glendale,9-s2.0-55652699000,55652699000,0000-0002-7913-1526,MEDI (36); PHAR (16); HEAL (14),multiple profiles; affiliation not in list
125,de Luca,Maria,Azienda Sanitaria Universitaria Giuliano Isontina,9-s2.0-57218279918,57218279918,,MEDI (6); EART (2); BIOC (2),multiple profiles; affiliation not in list
126,Degenhardt,Amanda,The University of British Columbia,9-s2.0-56471624300,56471624300,,NEUR (4); MEDI (3); BIOC (2),multiple profiles; 
127,Derry,Heather M.,Weill Cornell Medicine,9-s2.0-57204859531,57204859531,0000-0003-0753-0859,MEDI (29); SOCI (8); PSYC (7),multiple profiles; affiliation not in list
128,Dhaese,Marie Jośe,"Centre for Expressive Therapy, Counseling and Consulting",9-s2.0-55888589400,55888589400,,PSYC (1),affiliation not in list
129,Dhaliwal,Kuljit,The University of British Columbia,9-s2.0-54683690300,54683690300,,MEDI (1),
130,Dhariwal,Amrit K.,The University of British Columbia,9-s2.0-57209706536,57209706536,0000-0001-5724-5584,MEDI (10); PSYC (9); SOCI (3),
131,Diamond,Adele,"University of British Columbia, Faculty of Medicine",9-s2.0-7102727063,7102727063,0000-0002-1453-6434,PSYC (78); NEUR (39); MEDI (31),
132,Dimov,Marius,Institut de Réadaptation Gingras-Lindsay de Montréal,9-s2.0-6506389533,6506389533,,NEUR (1),affiliation not in list
133,Doan,Nam Q.H.,Van Lang University,9-s2.0-57241674500,57241674500,,BIOC (4); CENG (3); ENVI (2),multiple profiles; affiliation not in list
134,Docherty,Claire,"University of British Columbia, Faculty of Medicine",9-s2.0-57720890400,57720890400,,MEDI (1),multiple profiles; 
135,Dodge,Liam,,9-s2.0-57318287900,57318287900,,MEDI (3),multiple profiles; affiliation not in list
136,Donaldson,Heather N.,Emory University School of Medicine,9-s2.0-57211096593,57211096593,,BIOC (1); PHAR (1),multiple profiles; affiliation not in list
137,Douziech,Jeffery R.,BC​ Children​'​​s Hospital,9-s2.0-37025894100,37025894100,,MEDI (4),affiliation not in list
138,Douziech,Ingrid,"University of Ottawa, Canada",9-s2.0-57212527201,57212527201,,MEDI (1),affiliation not in list
139,D&amp;apos;Oyley,Heather M.,Vancouver General Hospital,9-s2.0-6508016739,6508016739,,NEUR (2); PHAR (2); MEDI (1),affiliation not in list
140,Drabkin,Rodney,,9-s2.0-6701658742,6701658742,,MEDI (1),affiliation not in list
141,Drance,Elisabeth,The University of British Columbia,9-s2.0-14424084600,14424084600,,SOCI (6); MEDI (4); ARTS (3),
142,Driscoll,Miriam,The University of British Columbia,9-s2.0-56611493100,56611493100,,MEDI (19); PSYC (4); BIOC (3),
143,Drouillard,Natalie,The University of British Columbia,9-s2.0-55605236300,55605236300,,MEDI (1),
144,Dua,Vikram,British Columbia Autism Assessment Network,9-s2.0-24733684600,24733684600,,MEDI (7); PSYC (1),multiple profiles; affiliation not in list
145,Duncan,Don,BC Interior ADHD Clinic,9-s2.0-55195864400,55195864400,,MEDI (4); PSYC (2),multiple profiles; affiliation not in list
146,Dunn,R. Patrice,Texas Tech University,9-s2.0-58293269100,58293269100,,SOCI (2); MEDI (2),multiple profiles; affiliation not in list
147,Edalati,Kourosh,BC Children's Hospital Research Institute,9-s2.0-35169140500,35169140500,,MEDI (2),
148,Edirmanasinghe,Dimitri,Northwestern University Feinberg School of Medicine,9-s2.0-36695766900,36695766900,,MEDI (2),affiliation not in list
149,Edwards,Kathryn M.,Vanderbilt University School of Medicine,9-s2.0-7402956340,7402956340,,MEDI (1310); IMMU (264); BIOC (96),multiple profiles; affiliation not in list
150,Eksteen,Hendri Charl,Faculty of Health Sciences,9-s2.0-57197763633,57197763633,,MEDI (1),affiliation not in list
151,Elahi,Fawad,"UL Hospitals, Ireland",9-s2.0-8582529400,8582529400,,MEDI (2); PSYC (1),affiliation not in list
152,Elfers,Theo,Simon Fraser University,9-s2.0-21734084200,21734084200,,PSYC (3); NEUR (1),affiliation not in list
153,Elliott,Katherine S.,The Wellcome Centre for Human Genetics,9-s2.0-27169424500,27169424500,,MEDI (87); BIOC (57); AGRI (12),multiple profiles; affiliation not in list
154,Emes,Craig E.,McGill University,9-s2.0-7003781993,7003781993,,MEDI (5); HEAL (1); SOCI (1),affiliation not in list
155,Erickson,David R.,Defence Research and Development Canada,9-s2.0-34881763800,34881763800,,ENGI (13); COMP (9); PHYS (7),multiple profiles; affiliation not in list subject mismatch; 
156,Esau,Steven,University of Waterloo,9-s2.0-57204007518,57204007518,,PHYS (4); ENGI (1); MATE (1),affiliation not in list subject mismatch; 
157,Eslami,Ali Alizadeh,Wichita State University,9-s2.0-7004751628,7004751628,,MEDI (53); COMP (50); IMMU (33),multiple profiles; affiliation not in list
158,Evans,Anush,"University of British Columbia, Faculty of Medicine",9-s2.0-58465847500,58465847500,,MEDI (3),multiple profiles; 
159,Fabian,James E.,University of Alberta Hospital,9-s2.0-7202759052,7202759052,,MEDI (2); NEUR (2); PHAR (1),multiple profiles; affiliation not in list
160,Fahy,Mellisa J.,UBC Hospital,9-s2.0-7007123330,7007123330,,MEDI (6); BIOC (2),affiliation not in list
161,Fantus,Claire,Hamamatsu University School of Medicine,9-s2.0-6508272883,6508272883,,BIOC (2),affiliation not in list
162,Fedoroff,Ingrid C.,"University of British Columbia, Faculty of Medicine",9-s2.0-6603312534,6603312534,,MEDI (18); PSYC (10); NEUR (8),
163,Fennemore,Marie,"St. Paul's Hospital, Vancouver",9-s2.0-57195972769,57195972769,,MEDI (3); PSYC (2); ARTS (1),affiliation not in list
164,Ferguson,Gisele,University of Saskatchewan,9-s2.0-55196112400,55196112400,,MEDI (2),affiliation not in list
165,Fernando,Nadeesha,The University of British Columbia,9-s2.0-9242836600,9242836600,,MEDI (1),multiple profiles; 
166,Fibiger,Hans Christian,The University of British Columbia,9-s2.0-35478938200,35478938200,,NEUR (534); PHAR (273); BIOC (258),multiple profiles; 
167,Finch,Sue J.,University of Melbourne,9-s2.0-57203195425,57203195425,,MEDI (90); PSYC (27); SOCI (12),multiple profiles; affiliation not in list
168,Fine,Stuart H.,The University of British Columbia,9-s2.0-7102143837,7102143837,,MEDI (54); PSYC (36); NEUR (4),multiple profiles; 
169,Fleming-Dutra,Katherine E.,National Center for Immunization and Respiratory Diseases,9-s2.0-55337210900,55337210900,,MEDI (259); HEAL (17); SOCI (17),multiple profiles; affiliation not in list
170,Flynn,Sean W.,The University of British Columbia,9-s2.0-7007046066,7007046066,,MEDI (31); NEUR (21); PSYC (10),multiple profiles; 
171,Forbes,Ian J.,"The Queen Elizabeth Hospital, North Western Adelaide Health Service",9-s2.0-7005610963,7005610963,,MEDI (78); BIOC (45); IMMU (23),multiple profiles; affiliation not in list
172,Fox,Joel M.,London Health Sciences Centre,9-s2.0-7404282647,7404282647,,MEDI (5),multiple profiles; affiliation not in list
173,Frangou,Sophia,"University of British Columbia, Faculty of Medicine",9-s2.0-7004549374,7004549374,,MEDI (411); NEUR (222); PSYC (69),
174,Freedman,Glen L.,University of Alberta,9-s2.0-7102159259,7102159259,,BIOC (3),multiple profiles; affiliation not in list
175,Freer,Janya,"Dalhousie University, Faculty of Medicine",9-s2.0-54406937900,54406937900,,MEDI (3); NURS (1),affiliation not in list
176,French,Kelly,,9-s2.0-58426573000,58426573000,,MEDI (1),multiple profiles; affiliation not in list
177,Frie,Roger,Simon Fraser University,9-s2.0-6602101869,6602101869,,PSYC (74); MEDI (32); ARTS (9),affiliation not in list
178,Froese,Colleen L.,The University of British Columbia,9-s2.0-6602314982,6602314982,,CHEM (3); MEDI (3); MATE (2),
179,Fulton,Heather G.,Dalhousie University,9-s2.0-24365736900,24365736900,,MEDI (15); SOCI (2); PSYC (2),multiple profiles; affiliation not in list
180,Fung,Kathryn,The University of British Columbia,9-s2.0-57211860093,57211860093,,MEDI (2); SOCI (2),
181,Fung,Jonathan,The University of British Columbia,9-s2.0-7203073310,7203073310,,MEDI (3); PSYC (2); AGRI (1),multiple profiles; 
182,Galloway,Ashley,VA Medical Center,9-s2.0-57218134676,57218134676,,MEDI (22); NURS (1),multiple profiles; affiliation not in list
183,Gambetti,Andrea,IRCCS Istituto Auxologico Italiano,9-s2.0-6505896516,6505896516,,MEDI (14); NURS (3),affiliation not in list
184,Gamble Kelley,Allison,Results for Development,9-s2.0-6507310992,6507310992,,MEDI (7); HEAL (1); SOCI (1),multiple profiles; affiliation not in list
185,Gambouras,Adam F.,Murray State University Murray,9-s2.0-15730606900,15730606900,,PSYC (2),affiliation not in list
186,Gandhi,Priya,RAND Corporation,9-s2.0-57225805057,57225805057,,MEDI (2); MULT (1); ARTS (1),multiple profiles; affiliation not in list
187,Garbett,Sally,,9-s2.0-57210130720,57210130720,, (),affiliation not in list subject mismatch; 
188,Geisler,Robert,"Karlsruher Institut für Technologie, Campus Nord",9-s2.0-7004257144,7004257144,,BIOC (76); MEDI (25); AGRI (12),multiple profiles; affiliation not in list
189,Geller,Josie,The University of British Columbia,9-s2.0-36004382200,36004382200,,MEDI (96); PSYC (65); NURS (17),multiple profiles; 
190,Genge,Margot,Memorial University of Newfoundland,9-s2.0-6603675209,6603675209,,MEDI (2),affiliation not in list
191,Gibson,Peter G.,"The University of Newcastle, Australia",9-s2.0-7202414199,7202414199,0000-0001-5865-489X,MEDI (1211); IMMU (119); BIOC (79),multiple profiles; affiliation not in list
192,Gicas,Kristina M.,York University,9-s2.0-56411977100,56411977100,,MEDI (67); NEUR (19); PSYC (19),affiliation not in list
193,Gilks,Thea,The University of British Columbia,9-s2.0-57201668645,57201668645,,PHAR (1); MEDI (1); ENVI (1),multiple profiles; 
194,Gill,Jitender,Janki Devi Memorial College,9-s2.0-57191322432,57191322432,,BUSI (1); ECON (1),affiliation not in list subject mismatch; 
