,Last Name,First Name,Affiliation,City,Country,Scopus Author ID,ORCID,Research Areas,Warnings
10,Agbahovbe,Onome,Warrenstown Inpatient Unit,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",22133847000,,PSYC (1),affiliation not in list
11,Agboji,Hezekiah,,,,,,,no profile found
12,Agranovich,Eugene,Simon Fraser University,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",6507647786,,BIOC (3),affiliation not in list
13,Ahmad,Nauman,,,,,,,no profile found
14,Ainsworth,Nick,,,,,,,no profile found
15,Ainsworth,Geoffrey,,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",35190175100,,MEDI (2),affiliation not in list
16,Ali,Shaik,,,,,,,no profile found
17,Allen,Katie,,,,,,,no profile found
18,Allibhai,Fatima,,,,,,,no profile found
19,Almas,Naveed,,,,,,,no profile found
20,Amarjothi Nagendran,Sreedharan,,,,,,,no profile found
21,Anderson,Cameron,,,,,,,no profile found
22,Anwar,Muhammad,,,,,,,no profile found
23,Anyansi,Tochukwu E.,Connolly Hospital Blanchardstown,"['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']","['', '', '', '', '', [...], '', '', [...], '', [...], '', [...], '', '', [...], '', '', '', '', '', '', '', [...], '', '', [...], '', [...], [...], '', [...], '', '', '', '', '', '', '', '', [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', [...], '', [...], [...], '', [...], '', '', [...], '', [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], '', '', '', '', '', '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], [...], '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', [...], '', '', [...], '', [...], '', '', '', '', '', '', [...], '', [...], [...], '', '', '', '', '', [...], '', [...], '', '', '', '', '', '', [...], [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', '', '', '', '', '', [...], [...], '', [...], [...], '', [...], '', [...], '', [...], '', '', '', '', '', '', '', [...], [...], '', [...], [...], [...], '', '', '', '', '', '', '', '', '', [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], '', [...], '', '', '', '', [...], '', '', '', [...], '', [...], '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', [...], '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], [...], [...], '', '', '', '', '', '', '', [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], '', [...], '', '', '', '', [...], [...], '', '', '', '', '', [...], [...], '', '', '', '', '', '', '', [...], '', [...], '', [...], '', '', '', '', '', '', [...], '', '', '', [...], [...], '', '', '', '', '', '', [...], [...], '', '', '', [...], '', '', [...], '', '', [...], '', '', '', '', [...], [...], [...], '', [...], '', [...], [...], '', '', '', [...], '', [...], '', '', [...], [...], '', '', '', '', [...], '', '', '', '', [...], '', '', '', '', '', '', '']",55735246900,,MEDI (1),affiliation not in list
24,Argouarch,Sylvie,,,,,,,no profile found
25,Armstrong,Kimberly,,,,,,,no profile found
