,Last Name,First Name,Affiliation,Scopus Author ID,ORCID,Research Areas,Warnings
32,Azim,Hassan F.A.,The University of British Columbia,,,MEDI (35); PSYC (25); SOCI (2),multiple profiles; 
33,Baer,Susan C.,UT Southwestern Medical School,,,MEDI (32); BIOC (4); HEAL (1),multiple profiles; affiliation not in list
34,Bailey,Anthony J.,"University of British Columbia, Faculty of Medicine",,,MEDI (129); NEUR (62); PSYC (53),multiple profiles; 
35,Bains,Ramnique,,,,,no profile found
36,Balakrishnan,Pradeep,KPJ Healthcare University College,,,BIOC (1); VETE (1); AGRI (1),multiple profiles; affiliation not in list
37,Ballance,Dina,,,,,no profile found
38,Banno,Brian,British Columbia Cancer Agency,,,BIOC (2); PHAR (2); AGRI (1),multiple profiles; affiliation not in list
39,Barale,Anthony,,,,,no profile found
40,Bardell,Andrea L.,University of Ottawa,,,MEDI (8); NEUR (1); NURS (1),affiliation not in list
41,Barley,Jennifer,,,,,no profile found
42,Bates,Alan Thomas,"University of British Columbia, Faculty of Medicine",,,MEDI (51); NEUR (21); PSYC (18),
43,Batke,Adrienne,University of Toronto,,,SOCI (1); MEDI (1),affiliation not in list
44,Bayat,Negar,,,,,no profile found
45,Beasley,Clare Louise,The University of British Columbia,,0000-0001-5919-7838,MEDI (52); NEUR (49); BIOC (18),
46,Beauchemin,Lyne,,,,,no profile found
47,Beaumont,Charl,University of Witwatersrand,,,MEDI (1),affiliation not in list
48,Bell,Rachel E.,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,,,MEDI (169); BIOC (14); NEUR (4),multiple profiles; affiliation not in list
49,Benning,Tony B.,"University of British Columbia, Faculty of Medicine",,,MEDI (22); PSYC (8); SOCI (5),
50,Bergen,Dorothea,,,,,no profile found
51,Bhalla,Rishi K.,Vancouver General Hospital,,,MEDI (27); PSYC (6); NEUR (6),multiple profiles; affiliation not in list
52,Bhasin,Mani,Newcastle General Hospital,,,MEDI (2),affiliation not in list
53,Bhatia,Niti,,,,,no profile found
54,Bilsker,Dan,"University of British Columbia, Faculty of Medicine",,,MEDI (28); PSYC (3); NURS (2),
55,Biradar,Apparao,,,,,no profile found
56,Birkholz,Kristina,,,,,no profile found
57,Birlik,Muzumel,,,,,no profile found
58,Birmingham,Carl Laird,The University of British Columbia,,0000-0003-4331-2664,MEDI (205); PSYC (77); AGRI (29),
59,Johnson-Bishop,Lindsay,Baylor College of Medicine,,,MEDI (4); NURS (1),multiple profiles; affiliation not in list
60,Black,Tyler R.,"University of British Columbia, Faculty of Medicine",,,MEDI (24); PSYC (1); MULT (1),multiple profiles; 
61,Blackburn,David Paul,CSIRO Land and Water,,,AGRI (15); ENVI (12); BIOC (2),multiple profiles; affiliation not in list
62,Blair,Lindsay,Johns Hopkins School of Medicine,,,MEDI (16); BIOC (4); NEUR (1),multiple profiles; affiliation not in list
63,Blank,Myles K.,BC Children's and Women's Hospital,,,PSYC (2); MEDI (2),affiliation not in list
64,Blashko,Christopher,,,,,no profile found
65,Blignaut,Johann,,,,MEDI (2),affiliation not in list
66,Bodnarchuk,Mark,Service correctionnel du Canada,,,MEDI (3); PSYC (3); SOCI (2),affiliation not in list
67,Bond,David J.,The University of British Columbia,,0000-0002-8713-7311,MEDI (149); NEUR (45); PSYC (27),multiple profiles; 
68,Bondar,Jay,Rotman Research Institute,,,PSYC (1),affiliation not in list
69,Booth,Christopher M.,Queen’s University,,,MEDI (703); BIOC (119); NURS (15),multiple profiles; affiliation not in list
70,Borowska,Anna,Gdanski Uniwersytet Medyczny,,,MEDI (5); IMMU (3); BIOC (1),multiple profiles; affiliation not in list
71,Bosc,Anastasia,Eberhard Karls Universität Tübingen,,,BIOC (2),affiliation not in list
72,Bosley,Laurence,,,,,no profile found
73,Bossé-Chartier,Gabrielle,"University of British Columbia, Faculty of Medicine",,,MEDI (8); PSYC (2); ARTS (1),
74,Boston,Daniel W.,Kornberg School of Dentistry,,,DENT (27); MEDI (7); ENGI (1),multiple profiles; affiliation not in list
75,Bota,Melissa,,,,MEDI (1); SOCI (1),affiliation not in list
76,Boudreau,Ainsley M.,BC​ Children​'​​s Hospital,,,MEDI (5); PSYC (5),multiple profiles; affiliation not in list
77,Bouffard,Rachelle,McGill University,,,MEDI (5); PSYC (4); NEUR (1),affiliation not in list
78,Boulding,Rachel,Mental Health and Addiction Services,,,MEDI (2),affiliation not in list
79,Bourque,Marie Claire,Centre for Addiction and Mental Health,,,MEDI (1); MULT (1); SOCI (1),affiliation not in list
80,Bow,Simon,Alberta Research Centre for Health Evidence,,,MEDI (1),affiliation not in list
81,Bozorg Zadeh,Shaghayegh,Mazandaran University of Medical Sciences,,,DENT (1),affiliation not in list subject mismatch; 
82,Breitman,Deanne R.,Gastrointestinal Research Group,,,MEDI (3); BIOC (1),affiliation not in list
83,Brennan,Naomi,Wessex Archaeology Ltd,,,ARTS (3); SOCI (2),affiliation not in list subject mismatch; 
84,Brink,Justinus,,,,,no profile found
85,Broadway,Lauren N.,University of Louisiana at Monroe,,,AGRI (2); BIOC (2); MEDI (2),affiliation not in list
86,Bronkhorst,Aletta,The University of British Columbia,,,MEDI (4),
87,Brost,Philip,University of Alberta,,,CHEM (1),affiliation not in list subject mismatch; 
88,Broster,Brett S.,The University of British Columbia,,,NEUR (5); PSYC (3),
89,Brown,James Craig,Amsterdam UMC - Vrije Universiteit Amsterdam,,,MEDI (104); HEAL (46); NEUR (5),multiple profiles; affiliation not in list
90,Brown,Jesse A.,"University of California, San Francisco",,,MEDI (86); NEUR (70); BIOC (7),multiple profiles; affiliation not in list
91,Burkey,Matthew D.,Johns Hopkins Bloomberg School of Public Health,,,MEDI (41); SOCI (4); PSYC (4),multiple profiles; affiliation not in list
92,Burns,Kyle M.,Cumming School of Medicine,,,BIOC (11); CHEM (4); ENVI (1),multiple profiles; affiliation not in list
93,Pai,Amy Barton,"University of Michigan, Ann Arbor",,,MEDI (86); PHAR (23); HEAL (8),multiple profiles; affiliation not in list
94,Burrell,Erin,"University of British Columbia, Faculty of Medicine",,,MEDI (9); ENVI (2); NURS (2),multiple profiles; 
95,Burton,Hannah M.,King's College London,,,MEDI (8); IMMU (2),multiple profiles; affiliation not in list
96,Butterfield,Michael Chao,Logan Hospital,,,MEDI (31); PHAR (2); NURS (1),multiple profiles; affiliation not in list
97,Calhoun,Laura,University of Manitoba,,,MEDI (4); NEUR (3); PSYC (1),affiliation not in list
98,Cameron,Kristjana,"University of British Columbia, Faculty of Medicine",,,MEDI (2); PSYC (1); NURS (1),
99,Campbell,Diane Paula,,,,,no profile found
100,Campbell,Helen,UK Health Security Agency,,,MEDI (227); IMMU (30); BIOC (15),multiple profiles; affiliation not in list
101,Carey,Paul R.,Case Western Reserve University,,,BIOC (311); CHEM (152); CENG (50),multiple profiles; affiliation not in list
102,Carlson,Stephanie M.,"Department of Environmental Science, Policy, and Management",,0000-0003-3055-6483,AGRI (102); ENVI (86); MEDI (32),multiple profiles; affiliation not in list
103,Carrion,Prescilla B.,"University of British Columbia, Faculty of Medicine",,,MEDI (23); BIOC (4); PSYC (3),
104,Carter,Arthur O.,Newcastle University,,,MEDI (2); ENGI (1); SOCI (1),multiple profiles; affiliation not in list
105,Caruncho,Héctor J.,University of Victoria,,,NEUR (69); MEDI (56); BIOC (49),multiple profiles; affiliation not in list
106,Staicu-Casagrande,Elena Magdalena,Institut des Sciences Moléculaires d'Orsay,,,PHYS (68); MATE (7); CHEM (4),affiliation not in list subject mismatch; 
107,Casey,Janel,,,,,no profile found
108,Catchpole,Rosalind E.H.,The University of British Columbia,,,PSYC (6); MEDI (6); SOCI (1),
109,Catton,Kristen,,,,,no profile found
110,Ceresney,Maureen,,,,,no profile found
111,Chachamovich,Eduardo,School of Medicine,,,MEDI (76); PSYC (16); SOCI (7),multiple profiles; affiliation not in list
112,Chakrabarty,Trisha,"University of British Columbia, Faculty of Medicine",,,MEDI (82); NEUR (15); PSYC (7),
113,Chakraborty,Tapash,Girijananda Chowdhury Institute of Pharmaceutical Science,,,MEDI (13); PHAR (12); BIOC (6),multiple profiles; affiliation not in list
114,Champagne,Marilyn,,,,,no profile found
115,Chan,Charlena,Camosun College,,,MEDI (3),multiple profiles; affiliation not in list
116,Chan,Salina B.,UCSF Helen Diller Family Comprehensive Cancer Center,,,MEDI (25); BIOC (13); MULT (1),multiple profiles; affiliation not in list
117,Chan,Kwan Ho Ryan,Johns Hopkins University,,,COMP (12); MEDI (5); MATH (2),multiple profiles; affiliation not in list
118,Chapman,Laura,Marie Curie Hospice Liverpool,,,NURS (12); MEDI (10); SOCI (1),multiple profiles; affiliation not in list
119,Chauhan,Harpreet,"St. Paul's Hospital, Vancouver",,,MEDI (2),affiliation not in list
120,Cheek,Joanna,The University of British Columbia,,,MEDI (10); PSYC (3); ENGI (1),
121,Chernick,Grant,,,,,no profile found
122,Chete,Edwin,,,,,no profile found
123,Chetty,Unita,,,,,no profile found
124,Cheung,Pierre,Uppsala Universitet,,,MEDI (6); BIOC (2); NEUR (1),affiliation not in list
125,Cheung,Bennett Sw,"University of British Columbia, Faculty of Medicine",,,MEDI (1); PSYC (1),
126,Chhabra,Mehtaab,,,,,no profile found
127,Chin,Danielle,Simon Fraser University,,,BIOC (1),multiple profiles; affiliation not in list
128,Chin,James C.,Cooperative Research Centres Australia,,,IMMU (38); VETE (37); AGRI (33),multiple profiles; affiliation not in list
129,Cho,Brian C.,Johns Hopkins School of Medicine,,,MEDI (52); IMMU (8); NURS (2),multiple profiles; affiliation not in list
130,Cho,Caroline,University of Alberta,,,NEUR (2); BIOC (2),multiple profiles; affiliation not in list
131,Chodkiewicz,Adam,UBC Hospital,,,MEDI (2),affiliation not in list
132,Choong,Wee Kei,,,,,no profile found
133,Chow,Warren Bryan,David Geffen School of Medicine at UCLA,,,MEDI (34); NURS (1); BIOC (1),multiple profiles; affiliation not in list
134,Chow,Matthew C.,,,,MEDI (7),multiple profiles; affiliation not in list
135,Chowdhury,Sheehan H.,The University of British Columbia,,,MEDI (3),
136,Claman,Jeffery M.,UBC Hospital,,,MEDI (6); NEUR (1),affiliation not in list
137,Clark,Campbell M.,The University of British Columbia,,,MEDI (111); NEUR (90); PSYC (64),multiple profiles; 
138,Clarke,Lorne Andrew,BC Children's Hospital Research Institute,,0000-0003-0512-7281,MEDI (147); BIOC (125); MATH (5),multiple profiles; 
139,Clements,Robert O.,"Institute of Biological, Environmental and Rural Sciences",,,AGRI (79); ENVI (16); BIOC (3),multiple profiles; affiliation not in list
140,Clift,Robert J.W.,Program Evaluation and Research,,0000-0002-4216-4631,PSYC (6); MEDI (6); SOCI (3),multiple profiles; affiliation not in list
141,Coelho,Jennifer S.,"University of British Columbia, Faculty of Medicine",,0000-0001-9907-8067,MEDI (57); PSYC (40); NURS (16),
142,Cohen,Gregory H.,School of Public Health,,,MEDI (130); PSYC (25); SOCI (13),multiple profiles; affiliation not in list
143,Cohen,Jordan J.,Association of American Medical Colleges,,,MEDI (204); SOCI (102); NURS (85),multiple profiles; affiliation not in list
144,Cohen,David Jay,Emory University School of Medicine,,,MEDI (3),affiliation not in list
145,Cojocaru,Alice,,,,,no profile found
146,Collins,Jimmie Nelson,Eastern Virginia Medical School,,,MEDI (1),affiliation not in list
147,Comeau,Jennifer,,,,,no profile found
148,Comeau,Kent,,,,,no profile found
149,Comey,Rob,,,,,no profile found
150,Cook,Daniel D.,USDA Agricultural Research Service,,,AGRI (134); MEDI (62); BIOC (61),multiple profiles; affiliation not in list
151,Cooper,Dan Michael,"University of California, Irvine",,,MEDI (386); BIOC (194); HEAL (85),multiple profiles; affiliation not in list
152,Cooper,Sally Barry,University of Leeds,,,MATH (92); COMP (52); BIOC (9),multiple profiles; affiliation not in list
153,Corbyn,Bryony R.,The University of British Columbia,,,MEDI (4); PSYC (1),
154,Correia,Shauna,The University of British Columbia,,,MEDI (15); BIOC (2),multiple profiles; 
155,Coupland,Jason,,,,MEDI (1),affiliation not in list
156,Cox,Darcy,The University of British Columbia,,,MEDI (12); PSYC (9); NEUR (1),
157,Coxon,Carol,,,,,no profile found
158,Craig,Ann Marie,Djavad Mowafaghian Centre for Brain Health,,,NEUR (88); BIOC (78); MEDI (26),multiple profiles; 
159,Crawford,Tanya,Munro Centre,,,PSYC (4); MEDI (2),multiple profiles; affiliation not in list
160,Crawford,Doreen Anne,Crawford-McKenzie,,,MEDI (54); NURS (5),multiple profiles; affiliation not in list
161,Crowell,Timothy A.,The University of British Columbia,,,PSYC (19); NEUR (8); MEDI (8),multiple profiles; 
162,Culo,Sandi,The University of British Columbia,,,MEDI (5); PSYC (1); NURS (1),
163,Cunningham,Melissa A.,Medical University of South Carolina,,,MEDI (36); IMMU (15); BIOC (5),multiple profiles; affiliation not in list
164,Darabian,Kaveh,,,,MEDI (1),affiliation not in list
165,Davis,Lindsay E.,Midwestern University Glendale,,0000-0002-7913-1526,MEDI (36); PHAR (16); HEAL (14),multiple profiles; affiliation not in list
166,de Luca,Maria,Azienda Sanitaria Universitaria Giuliano Isontina,,,MEDI (6); EART (2); BIOC (2),multiple profiles; affiliation not in list
167,de Rappard,Sherry,,,,,no profile found
168,Degenhardt,Amanda,The University of British Columbia,,,NEUR (4); MEDI (3); BIOC (2),multiple profiles; 
169,Derocher,Christopher,,,,,no profile found
170,Derry,Heather M.,Weill Cornell Medicine,,0000-0003-0753-0859,MEDI (29); SOCI (8); PSYC (7),multiple profiles; affiliation not in list
171,Dhaese,Marie Jośe,"Centre for Expressive Therapy, Counseling and Consulting",,,PSYC (1),affiliation not in list
172,Dhaliwal,Kuljit,The University of British Columbia,,,MEDI (1),
173,Dhariwal,Amrit K.,The University of British Columbia,,0000-0001-5724-5584,MEDI (10); PSYC (9); SOCI (3),
174,Diamond,Adele,"University of British Columbia, Faculty of Medicine",,0000-0002-1453-6434,PSYC (78); NEUR (39); MEDI (31),
175,Dimov,Marius,Institut de Réadaptation Gingras-Lindsay de Montréal,,,NEUR (1),affiliation not in list
176,Doan,Nam Q.H.,Van Lang University,,,BIOC (4); CENG (3); ENVI (2),multiple profiles; affiliation not in list
177,Docherty,Claire,"University of British Columbia, Faculty of Medicine",,,MEDI (1),multiple profiles; 
178,Dodd,Lindsay,,,,,no profile found
179,Dodge,Liam,,,,MEDI (3),multiple profiles; affiliation not in list
180,Donahue,Birgitta,,,,,no profile found
181,Donaldson,Heather N.,Emory University School of Medicine,,,BIOC (1); PHAR (1),multiple profiles; affiliation not in list
182,Dosanjh,Robbie,,,,,no profile found
183,Douziech,Jeffery R.,BC​ Children​'​​s Hospital,,,MEDI (4),affiliation not in list
184,Douziech,Ingrid,"University of Ottawa, Canada",,,MEDI (1),affiliation not in list
185,Dowey,Michael,,,,,no profile found
186,D&amp;apos;Oyley,Heather M.,Vancouver General Hospital,,,NEUR (2); PHAR (2); MEDI (1),affiliation not in list
187,Drabkin,Rodney,,,,MEDI (1),affiliation not in list
188,Drance,Elisabeth,The University of British Columbia,,,SOCI (6); MEDI (4); ARTS (3),
189,Driscoll,Miriam,The University of British Columbia,,,MEDI (19); PSYC (4); BIOC (3),
190,Drouillard,Natalie,The University of British Columbia,,,MEDI (1),
191,Dua,Vikram,British Columbia Autism Assessment Network,,,MEDI (7); PSYC (1),multiple profiles; affiliation not in list
192,Duncalf,Cliff,,,,,no profile found
193,Duncan,Don,BC Interior ADHD Clinic,,,MEDI (4); PSYC (2),multiple profiles; affiliation not in list
194,Dunn,R. Patrice,Texas Tech University,,,SOCI (2); MEDI (2),multiple profiles; affiliation not in list
195,Duru,Doris,,,,,no profile found
196,Ebenstiner,Janice,,,,,no profile found
197,Edalati,Kourosh,BC Children's Hospital Research Institute,,,MEDI (2),
198,Edirmanasinghe,Dimitri,Northwestern University Feinberg School of Medicine,,,MEDI (2),affiliation not in list
199,Edwards,Kathryn M.,Vanderbilt University School of Medicine,,,MEDI (1310); IMMU (264); BIOC (96),multiple profiles; affiliation not in list
200,Eksteen,Hendri Charl,Faculty of Health Sciences,,,MEDI (1),affiliation not in list
201,Elahi,Fawad,"UL Hospitals, Ireland",,,MEDI (2); PSYC (1),affiliation not in list
202,Elefante,Raymond Julius Obena,,,,,no profile found
203,Elfers,Theo,Simon Fraser University,,,PSYC (3); NEUR (1),affiliation not in list
204,Elliott,Katherine S.,The Wellcome Centre for Human Genetics,,,MEDI (87); BIOC (57); AGRI (12),multiple profiles; affiliation not in list
205,Emes,Craig E.,McGill University,,,MEDI (5); HEAL (1); SOCI (1),affiliation not in list
206,Erickson,David R.,Defence Research and Development Canada,,,ENGI (13); COMP (9); PHYS (7),multiple profiles; affiliation not in list subject mismatch; 
207,Esau,Steven,University of Waterloo,,,PHYS (4); ENGI (1); MATE (1),affiliation not in list subject mismatch; 
208,Eslami,Ali Alizadeh,Wichita State University,,,MEDI (53); COMP (50); IMMU (33),multiple profiles; affiliation not in list
209,Esmaili,Haydeh,,,,,no profile found
210,Eswar,Shruthi,,,,,no profile found
211,Evans,Anush,"University of British Columbia, Faculty of Medicine",,,MEDI (3),multiple profiles; 
212,Fabian,James E.,University of Alberta Hospital,,,MEDI (2); NEUR (2); PHAR (1),multiple profiles; affiliation not in list
213,Fabriel-Leclerc,Christin,,,,,no profile found
214,Fadeyi,Oludare,,,,,no profile found
215,Fahy,Mellisa J.,UBC Hospital,,,MEDI (6); BIOC (2),affiliation not in list
216,Fantus,Claire,Hamamatsu University School of Medicine,,,BIOC (2),affiliation not in list
217,Faraz,Muniba,,,,,no profile found
218,Fedoroff,Ingrid C.,"University of British Columbia, Faculty of Medicine",,,MEDI (18); PSYC (10); NEUR (8),
219,Fennemore,Marie,"St. Paul's Hospital, Vancouver",,,MEDI (3); PSYC (2); ARTS (1),affiliation not in list
220,Ferguson,Gisele,University of Saskatchewan,,,MEDI (2),affiliation not in list
221,Fernando,Nadeesha,The University of British Columbia,,,MEDI (1),multiple profiles; 
222,Fibiger,Hans Christian,The University of British Columbia,,,NEUR (534); PHAR (273); BIOC (258),multiple profiles; 
223,Finch,Sue J.,University of Melbourne,,,MEDI (90); PSYC (27); SOCI (12),multiple profiles; affiliation not in list
224,Fine,Stuart H.,The University of British Columbia,,,MEDI (54); PSYC (36); NEUR (4),multiple profiles; 
225,Flannigan,Stacy,,,,,no profile found
226,Fleming-Dutra,Katherine E.,National Center for Immunization and Respiratory Diseases,,,MEDI (259); HEAL (17); SOCI (17),multiple profiles; affiliation not in list
227,Flynn,Sean W.,The University of British Columbia,,,MEDI (31); NEUR (21); PSYC (10),multiple profiles; 
228,Forbes,Ian J.,"The Queen Elizabeth Hospital, North Western Adelaide Health Service",,,MEDI (78); BIOC (45); IMMU (23),multiple profiles; affiliation not in list
229,Fox,Joel M.,London Health Sciences Centre,,,MEDI (5),multiple profiles; affiliation not in list
230,Frangou,Sophia,"University of British Columbia, Faculty of Medicine",,,MEDI (411); NEUR (222); PSYC (69),
231,Frankland,Allan,,,,,no profile found
232,Fredrikson,Diane Helen,,,,,no profile found
233,Freedman,Glen L.,University of Alberta,,,BIOC (3),multiple profiles; affiliation not in list
234,Freer,Janya,"Dalhousie University, Faculty of Medicine",,,MEDI (3); NURS (1),affiliation not in list
235,French,Kelly,,,,MEDI (1),multiple profiles; affiliation not in list
236,Frew,Patricia,,,,,no profile found
237,Frie,Roger,Simon Fraser University,,,PSYC (74); MEDI (32); ARTS (9),affiliation not in list
238,Friesen,Wesley Howard,,,,,no profile found
239,Frizen,Oxana,,,,,no profile found
240,Froese,Colleen L.,The University of British Columbia,,,CHEM (3); MEDI (3); MATE (2),
241,Frolic,Natasha,,,,,no profile found
242,Fulton,Heather G.,Dalhousie University,,,MEDI (15); SOCI (2); PSYC (2),multiple profiles; affiliation not in list
243,Fung,Kathryn,The University of British Columbia,,,MEDI (2); SOCI (2),
244,Fung,Jonathan,The University of British Columbia,,,MEDI (3); PSYC (2); AGRI (1),multiple profiles; 
245,Furigay,Yvetta,,,,,no profile found
246,Furlong,Allan,,,,,no profile found
247,Galloway,Ashley,VA Medical Center,,,MEDI (22); NURS (1),multiple profiles; affiliation not in list
248,Gambetti,Andrea,IRCCS Istituto Auxologico Italiano,,,MEDI (14); NURS (3),affiliation not in list
249,Gamble Kelley,Allison,Results for Development,,,MEDI (7); HEAL (1); SOCI (1),multiple profiles; affiliation not in list
250,Gambouras,Adam F.,Murray State University Murray,,,PSYC (2),affiliation not in list
251,Gandham,Natasha,,,,,no profile found
252,Gandhi,Priya,RAND Corporation,,,MEDI (2); MULT (1); ARTS (1),multiple profiles; affiliation not in list
253,Gannon,Shivaun Rose,,,,,no profile found
254,Gansner,Melissa,,,,,no profile found
255,Garbett,Sally,,,, (),affiliation not in list subject mismatch; 
256,Geisler,Robert,"Karlsruher Institut für Technologie, Campus Nord",,,BIOC (76); MEDI (25); AGRI (12),multiple profiles; affiliation not in list
257,Geizer,Marie,,,,,no profile found
258,Geller,Josie,The University of British Columbia,,,MEDI (96); PSYC (65); NURS (17),multiple profiles; 
259,Genge,Margot,Memorial University of Newfoundland,,,MEDI (2),affiliation not in list
260,Gibson,Peter G.,"The University of Newcastle, Australia",,0000-0001-5865-489X,MEDI (1211); IMMU (119); BIOC (79),multiple profiles; affiliation not in list
261,Gicas,Kristina M.,York University,,,MEDI (67); NEUR (19); PSYC (19),affiliation not in list
262,Gilks,Thea,The University of British Columbia,,,PHAR (1); MEDI (1); ENVI (1),multiple profiles; 
263,Gill,Jitender,Janki Devi Memorial College,,,BUSI (1); ECON (1),affiliation not in list subject mismatch; 
264,Gill,Nadia,Boston College,,,PSYC (2); BUSI (1),affiliation not in list
265,Gill,Sharleen K.,UC Davis School of Medicine,,,MEDI (2); NEUR (1); BIOC (1),multiple profiles; affiliation not in list
266,Gillespie,Ian N.,Royal Infirmary of Edinburgh,,,MEDI (96); PSYC (3); HEAL (2),multiple profiles; affiliation not in list
267,Gillis,Randall L.,University of Waterloo,,,PSYC (10); SOCI (4); ARTS (2),multiple profiles; affiliation not in list
268,Goresky,Walter,Stony Brook University,,,SOCI (2); MEDI (1),affiliation not in list
269,Gourdeau,Julie,,,,,no profile found
270,Grech,Theresa,,,,,no profile found
271,Greenaway,Masa'il,BC Children's Hospital,,,MEDI (2),affiliation not in list
272,Gregoryanz,Tatiana,,,,,no profile found
273,Gregson,Alison,,,,,no profile found
274,Grewal,Seena,Hospital for Sick Children University of Toronto,,,MEDI (17); PSYC (3); NURS (3),affiliation not in list
275,Grewal,Gurinder S.,"St. Joseph's Medical Center, Stockton",,,MEDI (5); BIOC (1); NURS (1),multiple profiles; affiliation not in list
276,Griffiths,Brenda Lee,,,,,no profile found
277,Grimminck,Rachel,University of Calgary,,,MEDI (4); SOCI (1),affiliation not in list
278,Grishin,Nataliya,,,,,no profile found
279,Guan,Xinyuan Brian,The University of Hong Kong Li Ka Shing Faculty of Medicine,,0000-0003-1874-9805,MEDI (650); BIOC (460); NEUR (72),multiple profiles; affiliation not in list
280,Gubanov,Alexander V.,Siberian State Medical University,,,BIOC (1); MEDI (1),multiple profiles; affiliation not in list
281,Gutteridge,Ursula,,,,,no profile found
282,Ha,Kyooseob,Seoul National University College of Medicine,,0000-0001-5035-2950,MEDI (166); NEUR (64); PSYC (32),multiple profiles; affiliation not in list
283,Habibi,Mehrdad,Tabriz University of Medical Sciences,,,BIOC (1); HEAL (1); PHAR (1),multiple profiles; affiliation not in list
284,Haddon,Craig,,,,,no profile found
285,Hadjipavlou,George Alexander,,,,,no profile found
286,Halischuk,Grant,,,,,no profile found
287,Hallam,Elisabeth,,,,,no profile found
288,Halli,Priyanka S.,"University of British Columbia, Faculty of Medicine",,,MEDI (20); PSYC (3); MULT (1),multiple profiles; 
289,Hameer,Faiza,,,,,no profile found
290,Hanon,Neil,,,,,no profile found
291,Haque,Zia-Ui,,,,,no profile found
292,Farhan Ul Haque,Muhammad Farhan,University of East Anglia,,0000-0003-0989-2538,IMMU (24); BIOC (20); MEDI (16),multiple profiles; affiliation not in list
293,Haring,Michelle,The University of British Columbia,,,SOCI (4); PSYC (2),multiple profiles; 
294,Harrison,Richard G.,Cornell University,,,BIOC (114); AGRI (103); MEDI (32),multiple profiles; affiliation not in list
295,Harvey,Layne Joseph,,,,,no profile found
296,Harvey,Caroline,Iris Education,,,MEDI (32); NURS (2),multiple profiles; affiliation not in list
297,Hassan,Islam S.A.,Servier Pharmaceuticals,,,MEDI (33); BIOC (10); MULT (2),multiple profiles; affiliation not in list
298,Hathaway,Lorraine,,,,,no profile found
299,Heaven,Roberta K.B.,McMaster University,,,MEDI (8); NEUR (4); SOCI (2),affiliation not in list
300,Heilbrunn,David,,,,,no profile found
301,Heng,Kenneth Wei Jian,Tan Tock Seng Hospital,,,MEDI (29); NURS (4); IMMU (1),multiple profiles; affiliation not in list
